PSA_ID,Domain,Class,Sub_Category,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata
114,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Kenya - Key Message Update: Long rains to drive improvement, but widespread Crisis (IPC Phase 3) will persist, March 2026 - Kenya",,,,,ReliefWeb Kenya,2026-04-02,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-key-message-update-long-rains-drive-improvement-widespread-crisis-ipc-phase-3-will-persist-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
115,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"New Somali refugees in Dadaab camps find no services, no aid - Kenya",,,,,ReliefWeb Kenya,2026-03-23,"{""source_url"": ""https://reliefweb.int/report/kenya/new-somali-refugees-dadaab-camps-find-no-services-no-aid"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
116,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Country Brief Kenya - Climate Change, Mobility, and Conflict Dynamics (April 2026) - Kenya",,,,,ReliefWeb Kenya,2026-04-02,"{""source_url"": ""https://reliefweb.int/report/kenya/country-brief-kenya-climate-change-mobility-and-conflict-dynamics-april-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
117,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),- Many urgent humanitarian needs are unmet in Kenya.,,,,,ReliefWeb Kenya,2026-04-02,"{""source_url"": ""https://reliefweb.int/report/kenya/country-brief-kenya-climate-change-mobility-and-conflict-dynamics-april-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
118,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"- Community-based early warning systems for climate risks exist, but they are underdeveloped.",,,,,ReliefWeb Kenya,2026-04-02,"{""source_url"": ""https://reliefweb.int/report/kenya/country-brief-kenya-climate-change-mobility-and-conflict-dynamics-april-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
119,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Fewer than half (45%) of all respondents had access to early warning systems, and most relied on traditional knowledge or NGOs, rather than government systems.",,,,,ReliefWeb Kenya,2026-04-02,"{""source_url"": ""https://reliefweb.int/report/kenya/country-brief-kenya-climate-change-mobility-and-conflict-dynamics-april-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
120,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Even when early warnings were received (n=478), 19% of respondents took no action due to a lack of capacity.",,,,,ReliefWeb Kenya,2026-04-02,"{""source_url"": ""https://reliefweb.int/report/kenya/country-brief-kenya-climate-change-mobility-and-conflict-dynamics-april-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
121,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"World Water Day: Salesian Missions highlights water projects that make clean, fresh water available in communities - Kenya",,,,,ReliefWeb Kenya,2026-03-24,"{""source_url"": ""https://reliefweb.int/report/kenya/world-water-day-salesian-missions-highlights-water-projects-make-clean-fresh-water-available-communities"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
122,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"While serving as a reminder of the global population who suffers from water-related issues, the day also provides calls to action to prepare for the management of water in the future.",,,,,ReliefWeb Kenya,2026-03-24,"{""source_url"": ""https://reliefweb.int/report/kenya/world-water-day-salesian-missions-highlights-water-projects-make-clean-fresh-water-available-communities"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
123,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"To ensure optimal groundwater availability, a survey was conducted to identify the most suitable location for drilling.",,,,,ReliefWeb Kenya,2026-03-24,"{""source_url"": ""https://reliefweb.int/report/kenya/world-water-day-salesian-missions-highlights-water-projects-make-clean-fresh-water-available-communities"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
124,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"A borewell was drilled to access a sustainable aquifer and then a high-capacity submersible pump was installed, along with durable piping and electrical connections to ensure efficient water extraction.",,,,,ReliefWeb Kenya,2026-03-24,"{""source_url"": ""https://reliefweb.int/report/kenya/world-water-day-salesian-missions-highlights-water-projects-make-clean-fresh-water-available-communities"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
125,Security & Safety,PSA,Public Safety Awareness,"Kenya - Floods, update (Ministry of Interior and National Administration, Kenya Met, media) (ECHO Daily Flash of 23 March 2026) - Kenya",,,,,ReliefWeb Kenya,2026-03-23,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-floods-update-ministry-interior-and-national-administration-kenya-met-media-echo-daily-flash-23-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
126,Security & Safety,PSA,Public Safety Awareness,"On 20 March, residents living downstream of the Nairobi Dam were ordered to evacuate after authorities warned that rising water levels threatened to breach the dam embankment, creating an imminent risk of flooding.",,,,,ReliefWeb Kenya,2026-03-23,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-floods-update-ministry-interior-and-national-administration-kenya-met-media-echo-daily-flash-23-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
127,Security & Safety,PSA,Public Safety Awareness,"Kenya - Severe weather and floods, update (Meteo Kenya, media) (ECHO Daily Flash of 25 March 2026) - Kenya",,,,,ReliefWeb Kenya,2026-03-25,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-severe-weather-and-floods-update-meteo-kenya-media-echo-daily-flash-25-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
128,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Forecasts warn of further moderate rainfall expected over the next two days, particularly in the northern, western, and southeastern parts of the country.",,,,,ReliefWeb Kenya,2026-03-25,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-severe-weather-and-floods-update-meteo-kenya-media-echo-daily-flash-25-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
129,Security & Safety,PSA,Public Safety Awareness,"Kenya - Floods, update (Ministry of Interior and National Administration, Kenya Met, DG ECHO, media) (ECHO Daily Flash of 19 March 2026) - Kenya",,,,,ReliefWeb Kenya,2026-03-19,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-floods-update-ministry-interior-and-national-administration-kenya-met-dg-echo-media-echo-daily-flash-19-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
130,Security & Safety,PSA,Public Safety Awareness,"Residents in the affected areas should stay informed of official updates, avoid flood‑prone zones, and follow any evacuation or shelter‑in‑place instructions issued by authorities.",,,,,ReliefWeb Kenya,2026-03-19,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-floods-update-ministry-interior-and-national-administration-kenya-met-dg-echo-media-echo-daily-flash-19-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
131,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Unlocking refugee work authorisation in Kenya: A practical framework for economic inclusion, institutional alignment, and national growth (March 2026) - Kenya",,,,,ReliefWeb Kenya,2026-03-25,"{""source_url"": ""https://reliefweb.int/report/kenya/unlocking-refugee-work-authorisation-kenya-practical-framework-economic-inclusion-institutional-alignment-and-national-growth-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
132,Security & Safety,PSA,Public Safety Awareness,"Kenya - Floods, update (Kenya Government, media, Kenya Met Department, NOAA-CPC) (ECHO Daily Flash of 18 March 2026) - Kenya",,,,,ReliefWeb Kenya,2026-03-18,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-floods-update-kenya-government-media-kenya-met-department-noaa-cpc-echo-daily-flash-18-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
133,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Kenya | Cholera - Simplified Early Action Protocol (EAP No.: sEAP2025KE04, Operation No: MDRKE071) - Kenya",,,,,ReliefWeb Kenya,2026-03-19,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-cholera-simplified-early-action-protocol-eap-no-seap2025ke04-operation-no-mdrke071"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
134,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"The index case, reported in Migori, was linked to cross-border transmission which then creates the urgency with which the cross-border epidemic surveillance needs to be heightened.",,,,,ReliefWeb Kenya,2026-03-19,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-cholera-simplified-early-action-protocol-eap-no-seap2025ke04-operation-no-mdrke071"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
135,Security & Safety,PSA,Public Safety Awareness,"Kwale county has high cross border movement with Tanzania at Lunga Lunga and was categorized under ‘Alert’ drought phase by the National Drought Management Authority (NDMA, 2025)6 and faces inadequate availability of safe water.",,,,,ReliefWeb Kenya,2026-03-19,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-cholera-simplified-early-action-protocol-eap-no-seap2025ke04-operation-no-mdrke071"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
136,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),What Is Therapeutic Milk? Treating Severe Child Malnutrition - Kenya,,,,,ReliefWeb Kenya,2026-03-31,"{""source_url"": ""https://reliefweb.int/report/kenya/what-therapeutic-milk-treating-severe-child-malnutrition"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
137,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Treating Severe Child Malnutrition - Kenya Severe acute malnutrition is one of the deadliest conditions affecting children under five, requiring urgent medical care—not just food.",,,,,ReliefWeb Kenya,2026-03-31,"{""source_url"": ""https://reliefweb.int/report/kenya/what-therapeutic-milk-treating-severe-child-malnutrition"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
138,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Caregivers or health workers identify warning signs such as visible wasting, swollen feet, or a red-zone MUAC measurement.",,,,,ReliefWeb Kenya,2026-03-31,"{""source_url"": ""https://reliefweb.int/report/kenya/what-therapeutic-milk-treating-severe-child-malnutrition"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
139,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"By pairing lifesaving treatment with prevention-focused care, Action Against Hunger works not only to help children survive today, but to ensure they grow, thrive, and never need therapeutic milk again.",,,,,ReliefWeb Kenya,2026-03-31,"{""source_url"": ""https://reliefweb.int/report/kenya/what-therapeutic-milk-treating-severe-child-malnutrition"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
140,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Kenya: Climatic shocks drive Extremely Critical acute malnutrition among children and increasing numbers of high acute food insecurity - IPC Acute Food Insecurity and Acute Malnutrition Analysis (January – December 2026), Published on 12 March 2026 - Kenya",,,,,ReliefWeb Kenya,2026-03-12,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-climatic-shocks-drive-extremely-critical-acute-malnutrition-among-children-and-increasing-numbers-high-acute-food-insecurity-ipc-acute-food-insecurity-and-acute-malnutrition-analysis-january-december-2026-published-12-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
141,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya introduces WHO child development assessment tool in national health survey for the first time - Kenya,,,,,ReliefWeb Kenya,2026-03-04,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-introduces-who-child-development-assessment-tool-national-health-survey-first-time"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
142,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),WHO and Novo Nordisk Foundation partner to advance health workforce education in Kenya - Kenya,,,,,ReliefWeb Kenya,2026-02-20,"{""source_url"": ""https://reliefweb.int/report/kenya/who-and-novo-nordisk-foundation-partner-advance-health-workforce-education-kenya"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
143,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Last year, WHO AFRO launched the first-ever prototype competency-based curricula for 10 key health cadres including critical care nursing, general surgery and community health workers.",,,,,ReliefWeb Kenya,2026-02-20,"{""source_url"": ""https://reliefweb.int/report/kenya/who-and-novo-nordisk-foundation-partner-advance-health-workforce-education-kenya"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
144,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"""Competency-based education ensures our health workers are prepared to address the real health challenges communities face, from preventing and managing chronic diseases including diabetes and heart disease to delivering quality care at every level.",,,,,ReliefWeb Kenya,2026-02-20,"{""source_url"": ""https://reliefweb.int/report/kenya/who-and-novo-nordisk-foundation-partner-advance-health-workforce-education-kenya"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
145,Security & Safety,PSA,Public Safety Awareness,Kenya - Northern Kenya: Drought Severity and Population Exposure in Wajir County (28 Jan 2026) - Kenya,,,,,ReliefWeb Kenya,2026-01-28,"{""source_url"": ""https://reliefweb.int/map/kenya/kenya-northern-kenya-drought-severity-and-population-exposure-wajir-county-28-jan-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
146,Security & Safety,PSA,Public Safety Awareness,"Kenya - Floods (media, Kenya Met Department, NOAA - CPC) (ECHO Daily Flash of 9 March 2026) - Kenya",,,,,ReliefWeb Kenya,2026-03-09,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-floods-media-kenya-met-department-noaa-cpc-echo-daily-flash-9-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
147,Security & Safety,PSA,Public Safety Awareness,Kenya | Severe weather and flash floods - DG ECHO Daily Map | 10/03/2026 - Kenya,,,,,ReliefWeb Kenya,2026-03-10,"{""source_url"": ""https://reliefweb.int/map/kenya/kenya-severe-weather-and-flash-floods-dg-echo-daily-map-10032026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
148,Security & Safety,PSA,Public Safety Awareness,Kenya - Northern Kenya: Drought Severity and Population Exposure in Samburu County (28 Jan 2026) - Kenya,,,,,ReliefWeb Kenya,2026-01-28,"{""source_url"": ""https://reliefweb.int/map/kenya/kenya-northern-kenya-drought-severity-and-population-exposure-samburu-county-28-jan-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
149,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Hanaano Programme | Concern Worldwide - Kenya,,,,,ReliefWeb Kenya,2026-02-25,"{""source_url"": ""https://reliefweb.int/report/kenya/hanaano-programme-concern-worldwide"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
150,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Food Security Outlook February - September 2026: Slow recovery from historic poor short rains to sustain Crisis (IPC Phase 3) in pastoral areas - Kenya,,,,,ReliefWeb Kenya,2026-03-09,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-food-security-outlook-february-september-2026-slow-recovery-historic-poor-short-rains-sustain-crisis-ipc-phase-3-pastoral-areas"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
151,Security & Safety,PSA,Public Safety Awareness,Urgent: 3.3 Million Kenyans face acute hunger as multi-year drought devastates ASAL counties: Urgent multisectoral action needed to save lives - Kenya,,,,,ReliefWeb Kenya,2026-02-19,"{""source_url"": ""https://reliefweb.int/report/kenya/urgent-33-million-kenyans-face-acute-hunger-multi-year-drought-devastates-asal-counties-urgent-multisectoral-action-needed-save-lives"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
152,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Twelve other counties—Baringo, Tana River, Kajiado, Kitui, Lamu, Samburu, Laikipia, Narok, Turkana, Isiolo, Marsabit, and Garissa, remain in the Alert Phase, a worsening trajectory.",,,,,ReliefWeb Kenya,2026-02-19,"{""source_url"": ""https://reliefweb.int/report/kenya/urgent-33-million-kenyans-face-acute-hunger-multi-year-drought-devastates-asal-counties-urgent-multisectoral-action-needed-save-lives"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
153,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Staggering Nutrition and Health Risks The humanitarian impact is most severe, especially among the most vulnerable population: • Malnutrition: Over 810,000 children (aged 6–59 months) and nearly 117,000 pregnant and breastfeeding mothers require urgent assistance & treatment for acute malnutrition.",,,,,ReliefWeb Kenya,2026-02-19,"{""source_url"": ""https://reliefweb.int/report/kenya/urgent-33-million-kenyans-face-acute-hunger-multi-year-drought-devastates-asal-counties-urgent-multisectoral-action-needed-save-lives"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
154,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"CALL TO ACTION: We are calling on the national government, ASAL county governments, development partners, and the private sector to provide resources and undertake immediate lifesaving interventions to prevent malnutrition, protect livelihoods, and prevent deaths.",,,,,ReliefWeb Kenya,2026-02-19,"{""source_url"": ""https://reliefweb.int/report/kenya/urgent-33-million-kenyans-face-acute-hunger-multi-year-drought-devastates-asal-counties-urgent-multisectoral-action-needed-save-lives"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
155,Security & Safety,PSA,Public Safety Awareness,Situation Update: Escalating Malnutrition and Acute Food Shortage in Kenya’s ASAL Counties Amid Worsening Drought: Urgent Multisectoral Action Needed to Save Lives (18th February 2026) - Kenya,,,,,ReliefWeb Kenya,2026-02-18,"{""source_url"": ""https://reliefweb.int/report/kenya/situation-update-escalating-malnutrition-and-acute-food-shortage-kenyas-asal-counties-amid-worsening-drought-urgent-multisectoral-action-needed-save-lives-18th-february-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
156,Security & Safety,PSA,Public Safety Awareness,"Four counties; Mandera, Wajir, Kwale, and Kilifi, are currently classified in the Alarm Phase, indicating critical drought conditions requiring urgent response.",,,,,ReliefWeb Kenya,2026-02-18,"{""source_url"": ""https://reliefweb.int/report/kenya/situation-update-escalating-malnutrition-and-acute-food-shortage-kenyas-asal-counties-amid-worsening-drought-urgent-multisectoral-action-needed-save-lives-18th-february-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
157,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Twelve other counties, including Baringo, Tana River, Kajiado, Kitui, Lamu, Samburu, Laikipia, Narok, Turkana, Isiolo, Marsabit and Garissa are classified in the Alert Phase.",,,,,ReliefWeb Kenya,2026-02-18,"{""source_url"": ""https://reliefweb.int/report/kenya/situation-update-escalating-malnutrition-and-acute-food-shortage-kenyas-asal-counties-amid-worsening-drought-urgent-multisectoral-action-needed-save-lives-18th-february-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
158,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"This month, leaders from around the world will convene at the United Nations office in New York to call for rights, justice and action to lift up all women and girls.",,,,,ReliefWeb Kenya,2026-03-06,"{""source_url"": ""https://reliefweb.int/report/kenya/survivors-demand-justice-digital-gender-based-violence"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
159,Security & Safety,PSA,Crime Prevention,"“The officers I spoke to first admonished me and told me that this was not a criminal case, but rather a case of indecent behaviour on my part.” She tried to report the crime a second time, but was advised to hire a lawyer, which she could not afford.",,,,,ReliefWeb Kenya,2026-03-06,"{""source_url"": ""https://reliefweb.int/report/kenya/survivors-demand-justice-digital-gender-based-violence"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
160,Security & Safety,PSA,Gender-Based Violence,"“I launched Girls For Girls Africa Mental Health Foundation, a registered non-profit that offers trauma-informed psychosocial support to survivors,” she explained.",,,,,ReliefWeb Kenya,2026-03-06,"{""source_url"": ""https://reliefweb.int/report/kenya/survivors-demand-justice-digital-gender-based-violence"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
161,Security & Safety,PSA,Public Safety Awareness,The Realities of Adapting from Floodplains to Eco Villages | Concern Worldwide - Kenya,,,,,ReliefWeb Kenya,2026-02-25,"{""source_url"": ""https://reliefweb.int/report/kenya/realities-adapting-floodplains-eco-villages-concern-worldwide"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
162,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"To fully realise the eco‑village concept and ensure sustainability, further investment is required in infrastructure such as apiculture, livestock enterprises and irrigation systems.",,,,,ReliefWeb Kenya,2026-02-25,"{""source_url"": ""https://reliefweb.int/report/kenya/realities-adapting-floodplains-eco-villages-concern-worldwide"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
163,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Status of mobility of livestock in Kenya: Mapping of livestock routes and case studies on mobility blockages - Kenya,,,,,ReliefWeb Kenya,2026-02-24,"{""source_url"": ""https://reliefweb.int/report/kenya/status-mobility-livestock-kenya-mapping-livestock-routes-and-case-studies-mobility-blockages"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
164,Security & Safety,PSA,Public Safety Awareness,Kenya - Northern Kenya: Drought Severity and Population Exposure in Turkana County (28 Jan 2026) - Kenya,,,,,ReliefWeb Kenya,2026-01-28,"{""source_url"": ""https://reliefweb.int/map/kenya/kenya-northern-kenya-drought-severity-and-population-exposure-turkana-county-28-jan-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
165,Security & Safety,PSA,Public Safety Awareness,Kenya: Drought Snapshot (February 2026) - Kenya,,,,,ReliefWeb Kenya,2026-02-20,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-drought-snapshot-february-2026"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
166,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya builds capacity to produce its own vaccines - Kenya,,,,,ReliefWeb Kenya,2026-02-23,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-builds-capacity-produce-its-own-vaccines"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
167,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"During the COVID-19 pandemic, this dependency had serious consequences; when global demand surged, lower-income countries were consistently last to receive vaccines, with some waiting years while wealthier nations secured multiple rounds of supply.",,,,,ReliefWeb Kenya,2026-02-23,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-builds-capacity-produce-its-own-vaccines"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
168,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Should a health emergency arise, the same platform can be rapidly redirected to produce a response, shortening the time it takes for effective countermeasures to reach affected populations.",,,,,ReliefWeb Kenya,2026-02-23,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-builds-capacity-produce-its-own-vaccines"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
169,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),The Pharmacy and Poisons Board is working alongside programme partners to ensure that vaccines produced locally meet the regulatory standards required to reach patients safely.,,,,,ReliefWeb Kenya,2026-02-23,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-builds-capacity-produce-its-own-vaccines"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
170,Security & Safety,PSA,Public Safety Awareness,Flooding contributed to a surge in water-borne and vector-borne diseases.,,,,,ReliefWeb Kenya,2026-03-11,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-flood-and-cholera-outbreak-2025-dref-final-report-mdrke066"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
171,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya | Complex Emergency Operation Update MDRKE068 - Kenya,,,,,ReliefWeb Kenya,2026-02-18,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-complex-emergency-operation-update-mdrke068"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
172,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Nine counties including Wajir, Garissa, Kilifi, Marsabit, Kitui, Kwale, Kajiado, Isiolo, and Tana River are in the “Alert” phase, and Mandera remains in the critical “Alarm” phase.",,,,,ReliefWeb Kenya,2026-02-18,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-complex-emergency-operation-update-mdrke068"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
173,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Water scarcity is deepening across northern and eastern Kenya, where many water points are now “near-dry” or in “alert” status.",,,,,ReliefWeb Kenya,2026-02-18,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-complex-emergency-operation-update-mdrke068"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
174,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Food Security Outlook Update December 2025 - Historic low October-December rainfall drives widespread Crisis (IPC Phase 3) - Kenya,,,,,ReliefWeb Kenya,2026-01-10,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-food-security-outlook-update-december-2025-historic-low-october-december-rainfall-drives-widespread-crisis-ipc-phase-3"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
175,Security & Safety,PSA,Public Safety Awareness,Drought leaves over two million vulnerable to health and nutrition crises in Kenya - Kenya,,,,,ReliefWeb Kenya,2026-01-22,"{""source_url"": ""https://reliefweb.int/report/kenya/drought-leaves-over-two-million-vulnerable-health-and-nutrition-crises-kenya"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
176,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Nine counties, Wajir, Garissa, Kilifi, Marsabit, Kitui, Kwale, Kajiado, Isiolo, and Tana River, are in the “alert” phase, while Mandera is in the critical “alarm” phase.",,,,,ReliefWeb Kenya,2026-01-22,"{""source_url"": ""https://reliefweb.int/report/kenya/drought-leaves-over-two-million-vulnerable-health-and-nutrition-crises-kenya"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
177,Security & Safety,PSA,Public Safety Awareness,The Kenyan government has warned that 2.5 million citizens are at risk of severe hunger and water scarcity if the drought persists.,,,,,ReliefWeb Kenya,2026-01-22,"{""source_url"": ""https://reliefweb.int/report/kenya/drought-leaves-over-two-million-vulnerable-health-and-nutrition-crises-kenya"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
178,Security & Safety,PSA,Public Safety Awareness,"Acting on these early warnings, in November 2025, WHO handed over assorted emergency supplies to the Government of Kenya received, including cholera kits, pneumonia kits, and essential supplies and equipment pre-positioned in high-risk counties before the drought intensified.",,,,,ReliefWeb Kenya,2026-01-22,"{""source_url"": ""https://reliefweb.int/report/kenya/drought-leaves-over-two-million-vulnerable-health-and-nutrition-crises-kenya"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
179,Security & Safety,PSA,Public Safety Awareness,"Climate change is intensifying these extreme weather patterns, making droughts and floods more severe and unpredictable.” “WHO is calling on national and county governments, humanitarian agencies, and communities to mobilize urgently,” said Dr.",,,,,ReliefWeb Kenya,2026-01-22,"{""source_url"": ""https://reliefweb.int/report/kenya/drought-leaves-over-two-million-vulnerable-health-and-nutrition-crises-kenya"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
180,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),“Our immediate priority must be ensuring communities have access to adequate food supply and safe water for both people and livestock.,,,,,ReliefWeb Kenya,2026-01-22,"{""source_url"": ""https://reliefweb.int/report/kenya/drought-leaves-over-two-million-vulnerable-health-and-nutrition-crises-kenya"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
181,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"In Kenya, UNHCR’s Salih urges greater solidarity and solutions for refugees [EN/AR] - Kenya",,,,,ReliefWeb Kenya,2026-01-12,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-unhcrs-salih-urges-greater-solidarity-and-solutions-refugees-enar"", ""collected_at"": ""2026-07-13T00:51:45.799561""}"
