PSA_ID,Domain,Class,Sub_Category,English,Source,Date,Metadata
56,Security & Safety,PSA,Public Safety Awareness,"Kenya: Deaths during protests deeply concerning - Kenya Under international human rights law, lethal force by law enforcement officers, such as firearms, should only be used when strictly necessary in order to protect life or prevent serious injury from an imminent threat. The rights of peaceful assembly and freedom of expression are cornerstones of the rule of law and must be respected and upheld by all. Re:BUiLD Year 4 Annual Report - Kenya",ReliefWeb Kenya,2025-07-01,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-deaths-during-protests-deeply-concerning-0"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
57,Security & Safety,PSA,Public Safety Awareness,"EHAGL Region: Community Feedback Analysis Report, October - December 2024 - Kenya Continued efforts are needed to sustain and improve response rates, ensure timely resolution of community concerns, and maintain open, accessible feedback channels across all operations.",ReliefWeb Kenya,2025-07-07,"{""source_url"": ""https://reliefweb.int/report/kenya/ehagl-region-community-feedback-analysis-report-october-december-2024"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
58,Security & Safety,PSA,Public Safety Awareness,"Kenya: Concerns over deaths in protests - Kenya UN High Commissioner for Human Rights Volker Türk renews his call for calm and restraint, and full respect for the freedoms of expression, association and peaceful assembly. The High Commissioner repeats his call for all reported killings and other alleged violations and abuses of international human rights law, including with respect to use of force, to be promptly, thoroughly, independently and transparently investigated. Those responsible must be held to account. Under international human rights law, intentional lethal force by law enforcement officers, including with firearms, should only be used when strictly necessary to protect life from an imminent threat.",ReliefWeb Kenya,2025-07-08,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-concerns-over-deaths-protests"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
59,Security & Safety,PSA,Public Safety Awareness,"Jumale, who is in charge of VSLAs in the area, noticed a significant difference in the community. EHAGL Region: Community Feedback Analysis Report, January - March 2025 - Kenya This surge underscores the growing needs of communities amidst constrained resources and highlights the urgency for timely and targeted responses.",ReliefWeb Kenya,2025-07-09,"{""source_url"": ""https://reliefweb.int/report/kenya/how-kenyan-women-are-fighting-hunger"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
60,Security & Safety,PSA,Public Safety Awareness,"Republic of Korea rice donation provides critical boost to WFP's emergency response for refugees in Kenya | World Food Programme - Kenya Republic of Korea rice donation provides critical boost to WFP’s emergency response for refugees in Kenya - Kenya Follow us on X @wfp_kenya, @wfp_africa, @wfp_media For more information please contact (email address: firstname.lastname@wfp.org): Mercy Juma, WFP/Nairobi, Mob +254 704 723 762",ReliefWeb Kenya,2025-07-11,"{""source_url"": ""https://reliefweb.int/report/kenya/republic-korea-rice-donation-provides-critical-boost-wfps-emergency-response-refugees-kenya-world-food-programme"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
61,Security & Safety,PSA,Public Safety Awareness,"Navigating Cultural and Traditional Barriers in Qualitative Data Collection - Kenya The conclusion argues for an adaptive, reflexive, and ethically grounded approach to qualitative research that ensures both data quality and respect for community norms.",ReliefWeb Kenya,2025-07-12,"{""source_url"": ""https://reliefweb.int/report/kenya/navigating-cultural-and-traditional-barriers-qualitative-data-collection"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
62,Security & Safety,PSA,Public Safety Awareness,"Job losses and aid cuts leave Dadaab refugees uncertain of their future - Kenya “When I’m walking that debt nags me with worry because when I pass the shop when go along that road every day, and the shop owner says – I still haven’t been paid, why are you avoiding me…and he subjects me to lots of questions. Abbas Abdullahi Abdi, deputy head of the Ifo Camp Youth Umbrella, warned of rising insecurity.",ReliefWeb Kenya,2025-07-22,"{""source_url"": ""https://reliefweb.int/report/kenya/job-losses-and-aid-cuts-leave-dadaab-refugees-uncertain-their-future"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
63,Security & Safety,PSA,Public Safety Awareness,"Aligned with the Shirika Plan, the Refugee Act of 2021, and the national vision for expanding social protection to the most vulnerable, the exercise successfully registered 102,177 households—representing 510,885 individuals—into the ESR.",ReliefWeb Kenya,2025-07-23,"{""source_url"": ""https://reliefweb.int/report/kenya/wfp-kenya-country-brief-june-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
64,Security & Safety,PSA,Public Safety Awareness,"The System is Folding in on Itself : The Impact of U.S. Global Health Funding Cuts - Kenya For example, there are reports that some of the girls participating in the U.S.-funded DREAMS program, which ensured that 66,000 girls remained HIV-free over three years, have started to engage in sex work for survival after this vital support ended. The country also faces a serious risk of resurgence of malaria, HIV/AIDS, and vaccine-preventable diseases due to disruptions in treatment and prevention.",ReliefWeb Kenya,2025-07-24,"{""source_url"": ""https://reliefweb.int/report/kenya/system-folding-itself-impact-us-global-health-funding-cuts"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
65,Security & Safety,PSA,Public Safety Awareness,"DRC - Learning Brief: Leveraging the Self-Reliance Index for Livelihoods Impact Assessment - Kenya When some beneficiaries couldnʼt be reached, replacing them with others from beneficiary list with slightly increased sample size, ensured data collection remained on track.",ReliefWeb Kenya,2025-07-28,"{""source_url"": ""https://reliefweb.int/report/kenya/drc-learning-brief-leveraging-self-reliance-index-livelihoods-impact-assessment"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
66,Security & Safety,PSA,Public Safety Awareness,"Kenya - Humanitarian situation in refugee camps (DG ECHO, DRC) (ECHO Daily Flash of 29 July 2025) - Kenya USCRI calls for immediate action as refugees face man-made starvation crisis in Kenya - Kenya Desperate cries for food and survival must not be met with silence or with force. Despite unprecedented cuts to food rations in June, WFP’s urgent appeal for funding to restore full rations and cash assistance went unanswered. We must act immediately to reverse these deadly funding gaps.",ReliefWeb Kenya,2025-07-29,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-humanitarian-situation-refugee-camps-dg-echo-drc-echo-daily-flash-29-july-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
67,Security & Safety,PSA,Public Safety Awareness,AIRA Infodemic Trends Report 26 June - 9 July 2025 - Kenya,ReliefWeb Kenya,2025-07-31,"{""source_url"": ""https://reliefweb.int/report/kenya/aira-infodemic-trends-report-26-june-9-july-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
68,Security & Safety,PSA,Public Safety Awareness,"Kenya | Joint Market Monitoring Initiative (JMMI) Market Overview, Q1 (January - March, 2025) - Kenya Kenya - Key Message Update: Short improvement from long rains amid forecast below-average short rains, July 2025 - Kenya",ReliefWeb Kenya,2025-08-01,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-joint-market-monitoring-initiative-jmmi-market-overview-q1-january-march-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
69,Security & Safety,PSA,Public Safety Awareness,"The ever-harsher climate, including sometimes intense rains and floods, has been a wakeup call for Kenya’s new generation of pastoralists: pushing them to adapt their ancestral livelihood to a fast-changing world.",ReliefWeb Kenya,2025-08-04,"{""source_url"": ""https://reliefweb.int/report/kenya/pastoralism-gets-reboot-drying-kenya"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
70,Security & Safety,PSA,Public Safety Awareness,"Kenya achieves elimination of human African trypanosomiasis or sleeping sickness as a public health problem - Kenya Supported by WHO and partners, including FIND, Kenya’s HAT elimination programme will now implement a post-validation surveillance plan to detect any potential resurgence or reintroduction of transmission. WHO continues to support ongoing monitoring in previously affected areas and maintains a stock of medicines to ensure rapid treatment of possible future cases, thanks to donations from Bayer AG and Sanofi.",ReliefWeb Kenya,2025-08-08,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-achieves-elimination-human-african-trypanosomiasis-or-sleeping-sickness-public-health-problem"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
71,Security & Safety,PSA,Public Safety Awareness,"Beyond these efforts, there is an urgent need for Mpox vaccination to reduce the spread of the disease. MSF is ready and willing to support vaccination efforts in Mombasa, and we urge the Ministry of Health to swiftly make vaccines available there, as well as in other counties with high caseloads,” says Laura Gómez Mantilla, MSF Country Director in Kenya. “To effectively control the Mpox outbreak within communities, it remains urgent to strengthen community-level case detection and referral systems, and to address stigma through health education and outreach that encourages early care-seeking.” Caroline reiterates.",ReliefWeb Kenya,2025-08-12,"{""source_url"": ""https://reliefweb.int/report/kenya/msf-responds-mpox-outbreak-mombasa-kenya"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
72,Security & Safety,PSA,Public Safety Awareness,"Kenya Population Movement, DREF Operation No: MDRKE064 Final Report - Kenya",ReliefWeb Kenya,2025-08-18,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-population-movement-dref-operation-no-mdrke064-final-report"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
73,Security & Safety,PSA,Public Safety Awareness,"IFRC launches Zero Hunger Campaign to drive durable food security across Africa - Kenya For Africa, it’s a rallying call to end hunger by harnessing local ingenuity, climate-smart practices, and sustainable livelihoods."" Durable solutions, African leadership Launched in Kenya, Ethiopia, DRC, Mali, Nigeria, and Zimbabwe, the campaign is grounded in SDG 2, the AU’s Agenda 2063, and the Malabo Declaration.",ReliefWeb Kenya,2025-08-19,"{""source_url"": ""https://reliefweb.int/report/kenya/ifrc-launches-zero-hunger-campaign-drive-durable-food-security-across-africa"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
74,Security & Safety,PSA,Public Safety Awareness,"Kenya: Rapid Assessment — Mandera County (Data collected 15-17 August 2025) - Kenya As of 19 August 2025, 492 refugee households (approximately 2.952 individuals) were registered by Kenya Red Cross Society (KRCS) in three refugee camps (namely, Barwaaqo Secondary School, Shafshafey Secondary School and Duse Primary School).",ReliefWeb Kenya,2025-08-20,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-rapid-assessment-mandera-county-data-collected-15-17-august-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
75,Security & Safety,PSA,Public Safety Awareness,Dadaab businesses close as aid cuts shut down refugee economy - Kenya,ReliefWeb Kenya,2025-08-22,"{""source_url"": ""https://reliefweb.int/report/kenya/dadaab-businesses-close-aid-cuts-shut-down-refugee-economy"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
76,Security & Safety,PSA,Public Safety Awareness,"Countries in Africa risk running out of ‘wonder’ food over the next 3 months due to aid cuts - Kenya But despite the needs, only 39% of the required nutrition funding for 2025 has been received, with the UN warning that September marks a critical turning point, with most aid agencies likely to face significant disruption to their nutrition programmes or be forced to scale down their support [7]. He was urgently admitted to a Save the Children supported stabilisation centre with malnutrition after being screened at home by Save the Children community worker Hafsa*. Save the Children is calling on the international community to ensure children who are severely malnourished can receive the urgent support they need by increasing flexible funding to treat severe acute malnutrition and strengthening national and global supply chains.",ReliefWeb Kenya,2025-08-28,"{""source_url"": ""https://reliefweb.int/report/kenya/countries-africa-risk-running-out-wonder-food-over-next-3-months-due-aid-cuts"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
77,Security & Safety,PSA,Public Safety Awareness,Pathways to Employment - Kenya Report - August 2025 - Kenya ILO Brief - Constructing pathways: Enhancing employment and inclusion of host communities and urban refugees in Kenya’s construction sector (August 2025) - Kenya,ReliefWeb Kenya,2025-08-31,"{""source_url"": ""https://reliefweb.int/report/kenya/pathways-employment-kenya-report-august-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
78,Security & Safety,PSA,Public Safety Awareness,"Immediate intervention is essential to rehabilitate water infrastructure, deploy emergency sanitation, contain disease outbreaks, and ensure inclusive access for persons with disabilities and elderly populations to prevent further public health deterioration.",ReliefWeb Kenya,2025-09-01,"{""source_url"": ""https://reliefweb.int/report/kenya/wash-kenya-27-august-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
79,Security & Safety,PSA,Public Safety Awareness,Somali refugees in Dadaab don’t have enough to eat after aid cuts - Kenya,ReliefWeb Kenya,2025-09-02,"{""source_url"": ""https://reliefweb.int/report/kenya/somali-refugees-dadaab-dont-have-enough-eat-after-aid-cuts"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
80,Security & Safety,PSA,Public Safety Awareness,ILO Brief - Embracing innovation and inclusion: Strengthening Kenya’s beauty sector for host communities and urban refugees - Kenya,ReliefWeb Kenya,2025-09-03,"{""source_url"": ""https://reliefweb.int/report/kenya/ilo-brief-embracing-innovation-and-inclusion-strengthening-kenyas-beauty-sector-host-communities-and-urban-refugees"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
81,Security & Safety,PSA,Public Safety Awareness,"Kenya: IPC Acute Food Insecurity and Acute Malnutrition Analysis (July 2025 - January 2026) Published on 8 September 2025 - Kenya Of the projected 2.1 million people in urgent need of assistance, around 2 million are expected to be in Phase 3, while approximately 160,000 will be in Phase 4. Similar observations are registered among pregnant and breast-feeding women (PBW), with the numbers suffering acute malnutrition and in need of treatment reduced from 112,401 in 2024 to the current 109,462—reflecting a 2.6 percent reduction.",ReliefWeb Kenya,2025-09-08,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-ipc-acute-food-insecurity-and-acute-malnutrition-analysis-july-2025-january-2026-published-8-september-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
82,Security & Safety,PSA,Public Safety Awareness,"Kenya Food Security Outlook Update: Food insecurity in pastoral areas to worsen amid forecast below-average short rains, August 2025 - Kenya",ReliefWeb Kenya,2025-09-09,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-food-security-outlook-update-food-insecurity-pastoral-areas-worsen-amid-forecast-below-average-short-rains-august-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
83,Security & Safety,PSA,Public Safety Awareness,"Feeding the future: Africa surges ahead on school meals - Kenya Now, with the farmer-supplied meals, he says, “we have noticed that the enrolment of the school is growing.” Adapting to crises Despite these strides, challenges remain in ensuring Africa’s students get the meals they need. The Kenya Cash Consortium Alert-Based Cash Assistance to Disaster-Affected Communities in Garissa and Turkana Counties: Endline (May 2025) - Kenya",ReliefWeb Kenya,2025-09-10,"{""source_url"": ""https://reliefweb.int/report/kenya/feeding-future-africa-surges-ahead-school-meals"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
84,Security & Safety,PSA,Public Safety Awareness,"Contraceptive stocks dwindle in Kenya, affecting most vulnerable women - Kenya 6 Years on: how a water access project impacted lives in Churo, Kenya - Kenya Access points were also improved with the construction of a water kiosk and a community water point to ensure that clean water is readily available to residents. How sustainability was achieved To ensure sustainability, a 10 -member Water Management Committee (WMC), comprising 4 women and 6 men was formed and trained in system operation, maintenance and financial management. The current committee, composed of 13 members (5 men and 8 women), is operating effectively, with continuity ensured by retaining the trained borehole operators.",ReliefWeb Kenya,2025-09-11,"{""source_url"": ""https://reliefweb.int/report/kenya/contraceptive-stocks-dwindle-kenya-affecting-most-vulnerable-women"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
85,Security & Safety,PSA,Public Safety Awareness,"Research Terms of Reference: Exploring Climate Resilient Livelihoods Among Refugees and Host Communities in Kenya and Uganda, REG2502 (January 2025, V1.0) - Kenya",ReliefWeb Kenya,2025-09-12,"{""source_url"": ""https://reliefweb.int/report/kenya/research-terms-reference-exploring-climate-resilient-livelihoods-among-refugees-and-host-communities-kenya-and-uganda-reg2502-january-2025-v10"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
86,Security & Safety,PSA,Public Safety Awareness,"Africa Zero Hunger: The empowering journey of Mtakuja's women farmers - Kenya This campaign champions community-led durable solutions and calls for urgent investment in sustainable programmes that harness local resilience to tackle the root causes of food insecurity across the continent. The loss was a harsh reminder of the ongoing human-wildlife conflict in the region. Kenya bolsters polio and measles surveillance with cutting-edge KEMRI laboratory - Kenya These labs ensure that stool and environmental samples are quickly tested for polioviruses, guiding immunization campaigns and outbreak response. Kenya has not reported circulating variant poliovirus type 2 (cVDPV2) cases in the past 15 months, and continued surveillance and Kenya’s strengthened laboratory capacity will help sustain this momentum and ensure no resurgence. For Additional Information or to Request Interviews, Please contact: Monge Marta Villa Communications Officer Polio Eradication Programme WHO Regional Office for Africa Email: mongem@who.int Tel: + 34 636 04 76 79",ReliefWeb Kenya,2025-09-16,"{""source_url"": ""https://reliefweb.int/report/kenya/africa-zero-hunger-empowering-journey-mtakujas-women-farmers"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
87,Security & Safety,PSA,Public Safety Awareness,"Early Action Protocol Activation: Kenya Drought (EAP №: EAP2022KE02, Operation №: MDRKE055) - Kenya Based on a range of early warning indicators monitored through the drought early warning system, all the 23 ASAL counties are in the ‘Normal’ phase, albeit the conditions have started deteriorating in nine (9) counties including Garissa, Mandera, Tana River, Turkana, Baringo, Meru, Nyeri and Kitui (Figure 1a).",ReliefWeb Kenya,2025-09-17,"{""source_url"": ""https://reliefweb.int/report/kenya/early-action-protocol-activation-kenya-drought-eap-no-eap2022ke02-operation-no-mdrke055"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
88,Security & Safety,PSA,Public Safety Awareness,"Kenya: One-third of children found to be malnourished in Turkana as aid cuts, crocodile attacks compound hunger crisis - Kenya",ReliefWeb Kenya,2025-09-18,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-one-third-children-found-be-malnourished-turkana-aid-cuts-crocodile-attacks-compound-hunger-crisis"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
89,Security & Safety,PSA,Public Safety Awareness,"International Medical Corps Receives $6.3 Million Grant from Takeda to Improve Health Delivery in Kenya and Somalia - Kenya PIMS helps to ensure that the right items are available in the right place at the right time, immediately improving service delivery, saving lives and restoring trust in health systems.",ReliefWeb Kenya,2025-09-23,"{""source_url"": ""https://reliefweb.int/report/kenya/international-medical-corps-receives-63-million-grant-takeda-improve-health-delivery-kenya-and-somalia"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
90,Security & Safety,PSA,Public Safety Awareness,"Kenya Refugee Response Under Strain: Funding Cuts, Differentiated Assistance, and the Rising Social Cohesion Crisis (August 2025) - Kenya Together, these challenges are delaying urgent interventions, weakening accountability, and further eroding service delivery for refugees. Building resilience in Dadaab: workshop builds capacity of local leaders to tackle urban risks - Kenya It will help us strengthen early warning systems, improve community engagement, and put practical measures in place to reduce the impact of disasters."" Dadaab currently hosts nearly 705,000 residents, including over 430,000 refugees, making DRR particularly critical. The urgency of this work was underscored by the May 2024 floods, which displaced over 20,000 people and disrupted essential services. ""Inclusivity is key, making sure that refugee leaders actively participate in decision-making."" DRR planning must also include at-risk groups. ""Early warning information must be accessible, through audio, sign language, or community messengers, and evacuation centers must be physically accessible."" National and county-level representatives stressed the need for stronger coordination between local and national DRR efforts. ""This means we must work with all stakeholders and integrate disaster risk in everything we do, to ensure that we develop a resilient sustainable municipality."" Beyond technical planning, the workshop served as a space for healing and hope.",ReliefWeb Kenya,2025-09-24,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-refugee-response-under-strain-funding-cuts-differentiated-assistance-and-rising-social-cohesion-crisis-august-2025"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
91,Security & Safety,PSA,Public Safety Awareness,"Cross border Household Multisector Survey Kenya and Somalia (June, 2025) - Kenya Dadaab and Kakuma Refugee Camp in Kenya | Joint Market Monitoring Initiative (JMMI) Q2 (April - June 2025) - Kenya INTRODUCTION As of the end of June, 2025, the total number of registered refugees and asylum-seekers in Kenya stood at 854,876. For more information on the methodology, please refer to page 9.",ReliefWeb Kenya,2025-09-25,"{""source_url"": ""https://reliefweb.int/report/kenya/cross-border-household-multisector-survey-kenya-and-somalia-june-2025"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
92,Security & Safety,PSA,Public Safety Awareness,Embedding Peace: Key considerations for strengthening an infrastructure for building and sustaining positive peace (i4p) - Kenya,ReliefWeb Kenya,2025-09-29,"{""source_url"": ""https://reliefweb.int/report/kenya/embedding-peace-key-considerations-strengthening-infrastructure-building-and-sustaining-positive-peace-i4p"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
93,Security & Safety,PSA,Public Safety Awareness,Dwindling jobs for refugee women as Dadaab’s camp economy shrinks - Kenya,ReliefWeb Kenya,2025-09-30,"{""source_url"": ""https://reliefweb.int/report/kenya/dwindling-jobs-refugee-women-dadaabs-camp-economy-shrinks"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
94,Security & Safety,PSA,Public Safety Awareness,"How the Climate Crisis Threatens Farming in Rural Kenya - Kenya To ensure long-term success, Action Against Hunger partnered closely with the local government of Isiolo to coordinate efforts and align with community priorities. For climate-smart agriculture to succeed, it must be rooted in a long-term, holistic framework. WFP Kenya Country Brief July 2025 - Kenya Urgent, donor support is essential to restore adequate rations, sustain malnutrition screening, and prevent further deterioration of the quality of life and stability in the camps. Kenya — Displacement and Needs Assessment Key Findings — Tana River County (May - June 2025) - Kenya",ReliefWeb Kenya,2025-10-01,"{""source_url"": ""https://reliefweb.int/report/kenya/how-climate-crisis-threatens-farming-rural-kenya"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
95,Security & Safety,PSA,Public Safety Awareness,Kenya Multi-sector Needs Assessment (MSNA): Refugee Households | June 2025 - Kenya,ReliefWeb Kenya,2025-10-06,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-multi-sector-needs-assessment-msna-refugee-households-june-2025"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
96,Security & Safety,PSA,Public Safety Awareness,Kenya — Demographic and Displacement Calculator — Tana River County (21 May - 4 June) - Kenya Kenya — Findings from WISE Assessment — Tana River County - Kenya,ReliefWeb Kenya,2025-10-10,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-demographic-and-displacement-calculator-tana-river-county-21-may-4-june"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
97,Security & Safety,PSA,Public Safety Awareness,"Bridging the Healthcare Gap: Nawiri's Impact in Revitalizing Moite and Marsabit’s Remote Communities - Kenya Amidst soaring malnutrition rates, with a staggering proxy GAM prevalence of 51.1%, USAID-funded Nawiri answered Moite’s urgent call for help, initiating integrated medical outreaches as part of a critical IMAM surge response. These frontline staff are further empowered through continuous mentorship by the Sub-County Health Management Team (SCHMT) in vital practices like accurate data entry in MOH registers, immunization, and cold chain management, ensuring every patient encounter is met with the highest standard of care.",ReliefWeb Kenya,2025-10-15,"{""source_url"": ""https://reliefweb.int/report/kenya/bridging-healthcare-gap-nawiris-impact-revitalizing-moite-and-marsabits-remote-communities-0"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
98,Security & Safety,PSA,Public Safety Awareness,"Anticipatory Action Activation: Anticipatory Action to mitigate the impact of drought in Kenya (September 2025) - Kenya To mitigate the predicted impacts of drought, WFP is implementing the following AAs: 1.Early Warning Messages. The messages provide relevant early warning information on food security and agriculture, as well as water, livestock management, and other sectors. Kenya - Key Message Update: Persistent food insecurity in pastoral areas ahead of below-average short rains season, September 2025 - Kenya Tana River’s Battle with Climate Extremes - Kenya The county has also established a County Climate Change Fund, allocated a share of its development budget, and enacted a Climate Change Act (2021) to ensure adaptation efforts have legal backing. Concern and partners should phase gradual exit support, linking farmers more firmly to county extension, private sector, cooperatives, and subsidies.",ReliefWeb Kenya,2025-10-16,"{""source_url"": ""https://reliefweb.int/report/kenya/anticipatory-action-activation-anticipatory-action-mitigate-impact-drought-kenya-september-2025"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
99,Security & Safety,PSA,Public Safety Awareness,"“When girls succeed, entire communities change”: A rural shelter in Kenya giving girls hope beyond female genital mutilation - Kenya A call for more shelters A report by Kenya’s Generation Equality Secretariat in 2022 revealed that the country has 54 private shelters and gender-based violence rescue centres operational, but they are located in only 18 of the 47 counties.",ReliefWeb Kenya,2025-10-28,"{""source_url"": ""https://reliefweb.int/report/kenya/when-girls-succeed-entire-communities-change-rural-shelter-kenya-giving-girls-hope-beyond-female-genital-mutilation"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
100,Security & Safety,PSA,Public Safety Awareness,Kenya's Sustainable Supply Chain: Recycling Packaging from Damaged Stocks – A WFP Initiative - Kenya Waste Management & Reverse Logistics of Used Packaging in Kenya (WFP) - Kenya,ReliefWeb Kenya,2025-10-30,"{""source_url"": ""https://reliefweb.int/report/kenya/kenyas-sustainable-supply-chain-recycling-packaging-damaged-stocks-wfp-initiative"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
101,Security & Safety,PSA,Public Safety Awareness,"Kenya Food Security Outlook: Below-average short rains, high temperatures to drive Crisis (IPC Phase 3) into May, October 2025 - May 2026 - Kenya",ReliefWeb Kenya,2025-10-31,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-food-security-outlook-below-average-short-rains-high-temperatures-drive-crisis-ipc-phase-3-may-october-2025-may-2026"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
102,Security & Safety,PSA,Public Safety Awareness,"MSF: Test and treat approach: How communities lead in malaria treatment - Kenya MSF: Test and treat approach: How communities lead in malaria treatment - Kenya Since mid-September, Medecins Sans Frontieres/Doctors Without Borders (MSF)'s emergency team has been in Turkana responding to a surge in malaria cases in Turkwell, Naipa and Kotaruk areas. This includes the identification of danger signs for complicated malaria and facilitating urgent referral. Beyond MSF response, community-based surveillance should be sustained to ensure timely identification of malaria and other diseases to reduce severity of cases.",ReliefWeb Kenya,2025-11-02,"{""source_url"": ""https://reliefweb.int/report/kenya/msf-test-and-treat-approach-how-communities-lead-malaria-treatment"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
103,Security & Safety,PSA,Public Safety Awareness,"Kenya - Landslide (CatNat, media, KMD) (ECHO Daily Flash of 3 November 2025) - Kenya Farmers in Kenya fight food insecurity by making their own, low-cost animal feeds | IFRC - Kenya",ReliefWeb Kenya,2025-11-03,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-landslide-catnat-media-kmd-echo-daily-flash-3-november-2025"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
104,Security & Safety,PSA,Public Safety Awareness,"Kenya: IFRC launches CHF 15 million emergency appeal as climate extremes push millions to the brink - Kenya Authorities have since warned of further landslides as rainfall continues, compounding an already critical humanitarian situation across the country. This appeal will enable us to scale up life-saving support and strengthen resilience against these multiple shocks.” A Call for Collective Action The IFRC and Kenya Red Cross are urging governments, donors, humanitarian agencies, and the private sector to step up support immediately. The appeal seeks to ensure that no Kenyan goes hungry, thirsty, or without healthcare as climate extremes intensify. For more information, please contact: [email protected] Timothy Maina, +254 110 848 161 Susan Mbalu, +254 733 827 654 Tommaso Della Longa: +41 79 708 43 67 Scott Craig: +41 76 370 35 75",ReliefWeb Kenya,2025-11-04,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-ifrc-launches-chf-15-million-emergency-appeal-climate-extremes-push-millions-brink"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
105,Security & Safety,PSA,Public Safety Awareness,"Kenya - Landslide and floods, update (Meteo Kenya, media) (ECHO Daily Flash of 7 November 2025) - Kenya",ReliefWeb Kenya,2025-11-07,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-landslide-and-floods-update-meteo-kenya-media-echo-daily-flash-7-november-2025"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
106,Security & Safety,PSA,Public Safety Awareness,"The intervention begun with broad-based early warning messages, reaching 460,000 people with critical, actionable information on food security, water conservation, and livestock management. Approximately 10,750 high-risk households (64,500 individuals) are receiving 3-months (September to November) unconditional cash transfers of USD 79 to empower them to meet part of their household minimum expenditure basket (MEB) and avoid negative coping strategies, such as selling off productive assets.",ReliefWeb Kenya,2025-11-11,"{""source_url"": ""https://reliefweb.int/report/kenya/wfp-kenya-country-brief-september-2025"", ""collected_at"": ""2026-07-13T00:51:45.800561""}"
