Category,English
health,"To address these challenges, the WHO Digital Finance Team, in collaboration with the Ministry of Health and the World Health Organization in Kenya, introduced a digital payment system to ensure health workers are compensated faster and more reliably."
health,"A national Digital Payments Taskforce was created to coordinate data collection, register workers, verify information, and oversee payments."
health,"Kenya is ready for a digital shift in public health delivery,” said Sam Siboyi, digital finance lead, Ministry of Health Kenya."
health,"Nairobi— Kenya today inaugurated a newly upgraded World Health Organization (WHO)-accredited polio laboratory at the Kenya Medical Research Institute (KEMRI), marking a major step forward in the country’s efforts to detect and respond rapidly to poliovirus and other epidemic-prone diseases."
health,"The handover of the facility, supported by WHO and by a grant from the Gates Foundation, represents a significant investment in health security for Kenya and the wider African Region, coming at a time when countries are striving to stop circulating variant poliovirus type 2 (cVDPV2) outbreaks."
health,"These labs ensure that stool and environmental samples are quickly tested for polioviruses, guiding immunization campaigns and outbreak response."
health,"It strengthens our surveillance capacity, not only for polio but also for measles, rubella, and other vaccine-preventable diseases."
health,"Kenya has not reported circulating variant poliovirus type 2 (cVDPV2) cases in the past 15 months, and continued surveillance and Kenya’s strengthened laboratory capacity will help sustain this momentum and ensure no resurgence."
health,"Kenya’s progress “This validation marks a major public health milestone for Kenya, as we celebrate the elimination of a deadly disease in our country."
health,"Nairobi— In 2025, as global health agencies adjusted to tighter budgets, WHO Kenya and the Ministry of Health transitioned to a virtual platform to train health records and information officers in Kenya."
health,"From Oloitokitok Hospital at the foot of Mt Kilimanjaro to Korr Health Centre in the deserts of Marsabit County, the 12 highly skilled mentors were able to provide structured, hands-on training to over 300 healthcare workers, equipping them with clinical knowledge and skills on Family Planning and Post Abortion Care."
health,"Kajiado County— WHO Kenya joined hands with the Ministry of Health, Kajiado County leaders, health partners, and community members to mark World Health Day."
health,"Luigi D’Acquino, Chief of Health for UNICEF Kenya, also underscored his organization's commitment to the cause: “UNICEF stands with WHO and the Ministry of Health to ensure every child’s right to life is upheld."
health,"As part of the event, WHO Kenya donated 50 Mama Kits and 50 Dignity Kits to enhance the facility’s capacity to provide quality maternal and newborn services."
health,"WHO Kenya staff also participated in cleaning the maternal and child health unit at the hospital, and interacted with mothers, health care workers and community members to listen and learn from their experiences."
health,"During a routine outreach visit, a mobile health team deployed by the Adamawa State Government with support from World Health Organization (WHO) screened children for malnutrition and other health conditions."
health,His recovery highlights the importance of community-based screening and early referral to identify malnutrition and connect children to care before complications develop.
health,"Supported by the Central Emergency Response Fund (CERF), the State Government and WHO are expanding integrated outreach services combining nutrition screening, immunisation and referrals for underserved populations."
health,"In Nigeria, malnutrition remains a major public health challenge."
health,"These teams, comprising nurses and community health workers, deliver integrated services including nutrition screening, basic treatment and referrals."
health,Early nutrition screening is being integrated into routine primary health care to ensure continuity of care at community level.
health,"In practice, it means showing up when it matters and taking responsibility for the health of others, even when you do not know them."
health,"His participation sent a clear signal. “Safe blood is a critical part of health care,” he said. “By donating today, we are helping to ensure that patients facing emergencies can access lifesaving transfusions."
health,"It also affects women during pregnancy and childbirth, and children with conditions such as malaria-related anaemia."
health,Nigerians should see this as a call to action.
health,This work is part of a broader effort to build resilient health systems and ensure equitable access to essential services.
health,But systems do not change on their own.
health,"These realities need to be better understood and addressed. “I am alive because someone donated blood,” said Fiyin. “At that moment, we did not know who the donor was, but that decision gave me another chance.” The message from this year’s drive is clear."
health,Anyone who is healthy and eligible can donate blood through National Blood Service Commission centres and approved hospitals across the country.
health,World Health Organization (WHO) advises that countries build national blood systems and coordinate supply through strong policies and networks.
health,"The Organization further recommends that countries collect at least least 10 units of blood per 1,000 people to meet its basic clinical needs."
health,"WHO recommends voluntary, non-remunerated donation as the safest and most reliable source of blood."
health,"If you are eligible, donate blood regularly and support voluntary donation programmes in your community."
health,"At the same time, collaboration between public health authorities and community actors has improved, supporting more coordinated messaging and faster dissemination of information during outbreaks."
health,"""Trusted local voices make communities more willing to listen, adopt preventive practices and seek treatment early,"" said Mrs Hannatu Bello of NCDC's Risk Communication team."
health,"Public Health Specialist, Ministry of Health, Burkina Faso Dr Nare has played a central role in strengthening Burkina Faso’s tobacco control landscape through comprehensive legislation and institutional reforms."
health,"Abdulrazaq is eligible for the new R21 malaria vaccine, which was introduced in Nigeria in 2024. “I am preparing Abdulrazaq to receive the malaria vaccination at the health facility."
health,Bayelsa and Kebbi States in Nigeria were prioritized for the introduction of the R21 malaria vaccine in 2024.
health,"Almost 569 000 children aged 5–21 months have received the first dose of the malaria vaccine as of March 2026, preventing illness and saving lives. “It is a great privilege and opportunity to reduce the spread of malaria,” she says. “We really appreciate it."
health,"With no reminders or announcements, her commitment alone drives her to ensure her child receives essential immunisation services. “My mother taught me that this is how you protect a child,” she says. “No distance is too far for that.” Her decision may be quiet, but its impact is significant."
health,"Over recent years, reports show that vaccination coverage has improved, with Penta 3 increasing from 33.7% to 53.3% (NDHS 2018; NDHS 2023–24), and a decline in vaccine preventable diseases such as measles and polio (SORMAS 2025)."
health,"For mothers like Amina, these changes were practical and immediate: the clinic opened as scheduled, vaccines were available, and health workers were present."
health,Pentavalent vaccine (Penta 3) coverage in Katsina is estimated at 53.3% according to the NDHS 2024 report—slightly below the national average of 53.4% and far short of the 90% target set under IA2030.
health,"Each percentage point represents thousands of children who remain at risk of preventable disease. “Vaccines are safe, effective and provided free of charge,” adds Hajiya Muhammad Sahura. “Families are encouraged to visit their nearest primary health centre for routine immunisation, even outside campaign periods."
health,Protection should not depend on chance.” Sustaining the promise The Government of Nigeria continues to prioritise routine immunisation and primary healthcare strengthening under the Nigeria Health Sector Renewal Investment Initiative (NHSRII) and the Sector Wide Approach (SWAp).
health,"Abuja, A disease surveillance officer in Sokoto State notices a rise in suspected cholera cases through a digital reporting system."
health,Strengthening public health institutions is essential to addressing Nigeria’s dual burden of infectious diseases and rising noncommunicable conditions.
health,"Nigeria continues to face challenges including disease outbreaks, maternal and child health gaps, climate-related health risks and rapid urban growth."
health,Digital tools will help health workers report cases faster and allow decision-makers to act quickly.
health,This helps ensure that data from communities informs policy and action.
health,"Sustained commitment coordinated action and continued investment from government, partners and communities will be needed to ensure these reforms translate into better health outcomes for all Nigerians."
health,"Evidence consistently shows that faster laboratory turnaround times enable quicker outbreak detection and response, reducing the spread and impact of infectious diseases."
health,"Three major improvements were commissioned on 27 April 2026: In Ibadan, on 30 April 2026, WHO supported the commissioning of a 100 kVA solar power system at the National Polio Laboratory, University College Hospital."
health,"We are grateful for WHO’s support.” How stronger laboratories protect families For Musa Bamaiyi Joseph, the difference is simple. “When we detect early, children do not suffer,” he said. “Now we can detect early.” Health workers across the north-east echo this."
health,"Bauchi, Data-driven, community-led vaccination is enabling children who have never received any vaccines (zero-dose) in Bauchi State to be reached, demonstrating how targeted action can close immunisation gaps at scale."
health,"Her decision reflects a wider shift across underserved communities, where integrated, primary health care–based vaccination is reaching children who have not received any routine vaccines."
health,"Investigations found that, despite previous measles–rubella campaigns, some children had missed routine vaccines because of caregiver hesitancy and limited access, leaving them vulnerable to preventable diseases."
health,"At least 13 local government areas, including Toro, Kirfi, Alkaleri, Ganjuwa, Shira and Ningi, have a high number of zero-dose children, with low pentavalent vaccine (Penta-3) coverage, which protects against five diseases, and many children miss follow-up doses."
health,"While overall state coverage is about 79%, nearly 45% LGAs remain below 80%, increasing the risk of vaccine preventable disease outbreaks."
health,"Now, more parents are bringing their children.” Bringing services closer To reduce access barriers, the state implemented an integrated delivery model combining routine immunisation for children aged 0–23 months, introduction of the malaria vaccine, and the Big Catch-Up targeting children aged 24–59 months."
health,"Across all 20 LGAs, 1,292 health workers were deployed to 323 wards during a four-day malaria vaccination intensification campaign from 24 to 28 March 2026."
health,"Awareness that drives uptake For Safiya Yakubu, a caregiver in Zango settlement, personal experience informed her decision to vaccinate her 15-month-old son. “I once had severe malaria and almost collapsed,” she said. “When I heard about the vaccine, I went straight to the health facility."
health,"Nigeria has one of the highest numbers of zero-dose children globally, with over 2.1 million children who have not received any routine vaccines, largely in hard-to-reach areas."
health,"Globally, an estimated 14.3 million children remain unvaccinated each year, sustaining outbreaks of vaccine-preventable diseases."
health,Sustaining and scaling this approach will be critical to reaching every child and ensuring equitable access to life-saving vaccines. • WHO Immunization Data Portal: https://immunizationdata.who.int • NPHCDA: https://nphcda.gov.ng
health,Our children can finally be taken care of.” Her words reflect the experience of many nomadic families across Nigeria who face barriers to routine immunization.
health,"These barriers leave children at high risk of measles and rubella, two highly contagious diseases that continue to cause outbreaks in the country."
health,"The team travelled by road and then on foot, carrying vaccine carriers, cold‑chain equipment, and materials to help families understand the importance of immunization."
health,Their goal was simple: find children who had missed routine vaccines and ensure no child was left behind.
health,"Fear, not refusal Halima Aliyu, a young mother, held her 12‑month‑old son as she spoke to the team. “I tried to take him for immunization once, but I was afraid they would reject me in the neighbouring village,” she said. “That fear made me stop trying.” Her son was one of two zero‑dose children vaccinated that day."
health,"According to Alhaja Oredeko, the Local Immunization Officer for Egbedore LGA, closing this gap requires more than vaccines. “Government primary health care facilities are open and free."
health,"Restoring confidence, strengthening systems For families like Mama Balkis’ and Halima’s, the visit brought more than vaccines."
health,Osun State’s experience shows that no settlement is too remote and no child too far away to be protected from vaccine‑preventable diseases.
health,Call to action Communities are encouraged to: Communications Officer WHO Nigeria Email: hammanyerok [at] who.int (hammanyerok[at]who[dot]int)
health,"Enugu; In Enugu State, families, health workers, and young volunteers are working together to protect children from measles, rubella, human papilloma virus (HPV), and other vaccine preventable diseases."
health,"Many children still miss routine vaccines, and outbreaks continue in areas with low coverage."
health,"Odoh Stella Chinasa from Auchima community, Idoha ward, Igbo Etiti LGA. “This time, I brought all my children to be vaccinated.” Reaching children everywhere To help ensure no child is missed, the state trained more than 60 National Youth Service Corps (NYSC) members as independent monitors."
health,"The monitors visit vaccination posts, schools, markets, health facilities, worship centres, and remote settlements."
health,"Beyond preventing disease, the campaign is helping the state prepare for the introduction of the MR vaccine into Nigeria’s routine immunization schedule."
health,"Adaeze Ugwu, WHO Enugu State Coordinator. “Every child deserves protection, no matter where they live.” Gavi funding supports vaccine procurement and operational needs, helping ensure vaccines reach communities across the state."
health,"Young Nigerians driving change For many NYSC members, the experience is personal. “I now understand how important vaccines are and why every child must be reached,” said Faith Bankole. “I am glad to support my community,” added Onyeani Emmanuel Atuh from Achara 1 in Enugu South LGA."
health,Call to action Parents and caregivers are encouraged to bring their children to the nearest vaccination post during the campaign.
health,"Meanwhile, for Ondo state, the Malaria vaccine will be introduced, displaying Government’s effort on campaign effectiveness."
health,"Other states, including Edo, Bayelsa, Lagos, Ekiti, and Ogun, used their flag-offs to mobilise traditional rulers, faith leaders, and community groups around a shared commitment that no child should be missed."
health,"When I heard, the vaccines were coming to our community, I knew I had to bring my grandchildren to receive the vaccine, and I am happy I did.” WHO’s technical support WHO is working closely with national and state authorities to strengthen planning, coordination, and monitoring."
health,"Abuja, Nigeria has launched its first nationally representative survey on antimicrobial resistance (AMR), marking a milestone in the country’s public health response."
health,"The Federal Ministry of Health and Social Welfare (FMoH&SW) and the Nigeria Centre for Disease Control and Prevention (NCDC), with technical support from WHO, recently concluded a five-day planning workshop."
health,"Nigeria’s efforts supported by WHO, NCDC, the National Agency for the Control of AIDS (NACA), and the Global Fund, demonstrate strong national ownership and multisectoral collaboration."
health,"Yola, In flood-prone Adamawa State, north-east Nigeria, early health preparedness helped protect thousands of vulnerable people from preventable disease outbreaks during the 2025 rainy season."
health,"The anticipatory response focused on preventing malaria, cholera and other flood-related diseases, while ensuring continuity of essential health services for displaced and vulnerable populations."
health,"Abuja, Nigeria, in collaboration with WHO and other partners, is intensifying efforts to eradicate all forms of polio by 2030 through government leadership, community engagement, and targeted vaccination campaigns."
health,"Hassana, who contracted the disease as a toddler, now uses a wheelchair and champions vaccination in her community."
health,"Community Engagement Across States Across Nigeria, WHO state offices joined government agencies, partners, and communities in commemorating World Polio Day, renewing advocacy for vaccination and stronger surveillance."
health,"A Future Without Polio For Hassana and other polio survivors, the fight against polio is deeply personal. “If I had been vaccinated, my life would be very different,” reflects Bukar Modu, a 45-year-old polio survivor. “But I can use my voice to make sure no other child suffers as I did."
health,The comprehensive Integrated Measles–Rubella and Polio Vaccination Campaign demonstrates strong government leadership and collaboration with local and international partners to ensure every eligible child receives essential vaccines.
health,"In recent weeks, health workers have traversed rivers, rugged terrain, and crowded settlements to protect children from vaccine-preventable diseases — including measles, rubella, and polio."
health,"Pavel Ursu, WHO Representative in Nigeria. “Reaching every eligible child today prevents outbreaks tomorrow."
health,"The Road Ahead As mop-up activities continue in areas with missed children, WHO, the Government of Nigeria, and partners urge all stakeholders — from community leaders to caregivers — to remain engaged and vigilant."
health,"The review became necessary as the previous version (2019) did not reflect the new WHO recommendations, evolving clinical evidence or available antiviral therapies."
health,"Participants included clinicians, infectious disease experts, IPC focal persons, epidemiologists, health educators, state health officials, and implementing partners from the most affected states."
health,"""Our priority is to ensure that mpox patients receive safe and timely care using evidence-based protocols,"" said Dr Odianosen Ehiakhamen, a participant from NCDC."
health,"""Updating Nigeria's mpox guidelines reflects Nigeria’s commitment to strengthening clinical preparedness and home-based care,"" said Dr Joshua Ofoli, WHO Case Management & IPC Technical Officer."
health,He said the updated guidelines will include referral mechanisms to improve home-based care and ensure safe referrals to health facilities if symptoms worsen.
health,"""The process also integrates digital reporting tools to improve surveillance, ensure timely data flow, and strengthen accountability across facility and community levels""."
health,"Collaborating with NCDC, WHO has trained 570 frontline health workers, distributed mpox IPC and triage tools, and launched community-based surveillance initiatives."
health,"Nigeria has set a unified national direction, and WHO will support implementation at federal and state levels” Koessan Kuawu, Deputy Representative of UNFPA Nigeria, emphasised the role of midwifery in lowering maternal deaths at the launch."
health,A coordinated path forward The NSDNM creates a framework to address workforce gaps and ensure sustainable investments in nursing and midwifery.
health,Nigeria is accelerating its efforts to eradicate AIDS as a public health threat by 2030.
health,"Bashorun, NASCP Coordinator. “We aim to ensure HIV prevention tools serve diverse populations and meet national goals.” Expanding Access and Choice Daily oral PrEP has been available in Nigeria since 2016, but uptake varies."
health,"If injectable PrEP can protect me, I’m ready to take it.” WHO advises providing a variety of PrEP options tailored to individual preferences and risk profiles as part of comprehensive HIV prevention."
health,Evidence indicates that long-acting injectable PrEP substantially lowers the risk of HIV acquisition and is particularly effective for those who struggle with daily adherence.
health,"Abuja, The Government of Nigeria has launched a nationwide integrated vaccination campaign targeting more than 106 million people across all 36 states and the Federal Capital Territory."
health,"The campaign delivers measles–rubella, polio vaccines, and HPV vaccination, to close immunity gaps and protect children and adolescents from life-threatening diseases."
health,"The campaign also delivers malaria chemoprevention (Seasonal Malaria Chemoprevention, SMC) for children aged 3–59 months, NTD treatments for persons aged 5 years and above, and HPV vaccines for girls aged 9 years."
health,"A Shared Vision for Health and Development In his remarks, Ambassador Tuggar emphasized that the COVID-19 pandemic served as a wake-up call for Nigeria, particularly in the area of vaccine operations."
health,"Ambassador Tuggar reflected on Nigeria’s longstanding engagement in health diplomacy, noting that in light of the COVID-19 pandemic and the evolving global landscape, we are witnessing “the return of new realism”—a moment that demands pragmatic, equity-driven partnerships and resilient health systems."
health,"Ursu is a physician who holds a Master of Science and a Postgraduate Diploma in Public Health from the London School of Hygiene and Tropical Medicine, a master’s degree in health services management, and a Diploma in High Impact Leadership from the University of Cambridge."
health,"We also developed Nigeria’s first National Suicide Prevention Strategic Framework, aligned with the Sustainable Development Goals on noncommunicable diseases and mental health."
health,"It specifically calls for a national suicide prevention strategy, which we have since developed, and guides our work on mental health governance."
health,Nigeria is among the few countries that still criminalize this act and we believe this must change.
health,It is now embedded within programmes on neglected tropical diseases and HIV and WHO’s Mental Health Gap Action Programme (mhGAP) 3.0 framework has been contextualized and endorsed by Nigeria’s National Council on Health.
health,So we pushed for the creation of mental health units within every state’s Department of Public Health.
health,We’ve worked to strengthen mental health and psychosocial support in these settings using the WHO mhGAP Humanitarian Intervention Guide.
health,Our goal is a more responsive and sustainable system that can be activated not only in humanitarian crises but also in epidemic and pandemic responses.
health,Our goal is universal health coverage that truly includes mental health – where people no longer must pay out of pocket for care.
health,"Currently, fewer than 3% of people with mental health conditions are covered by health insurance."
health,We’re also working to ensure mental health indicators are included in the National Health Management Information System and to build a data-driven approach to planning and service delivery.
health,"In addition to measles-rubella and polio vaccines, the campaign integrates routine immunization and other essential child health services, including treatment for neglected tropical diseases and seasonal malaria chemoprevention in high-risk areas."
health,I urge you to approach this campaign with the same resilience and commitment you have shown over the years.
health,"In preparation for this nationwide rollout, Nigeria has also strengthened systems to ensure smooth implementation."
health,"These investments will ensure that every health worker is supported and every child vaccinated is recorded accurately, bolstering accountability and trust in the programme."
health,"Measles is a highly contagious and potentially fatal disease, particularly for malnourished children, while rubella can cause severe birth defects (Congenital Rubella Syndrome) if contracted during pregnancy."
health,"Robust coordination mechanisms are in place for financing, social mobilization, training, vaccine delivery and logistics to ensure success."
health,"With technical support from the World Health Organization (WHO) and partners, the Government, through the National Emergency Operations Center (NEOC), has launched rapid surveillance assessments to enhance the capacity to detect suspected cases as rapidly as possible and guide vaccination responses."
health,"We will use these findings to close gaps and ensure no suspected case goes undetected.” For local health workers, the exercise strengthened their role in protecting communities. “I have seen children who suddenly lost strength in their legs."
health,"Now I know how important it is to report such cases quickly so they can get help,” said Salamatu Abubakar, a Village Health Worker at Danladi PHC, Sule Tankarkar LGA."
health,"Strengths and challenges While the RSA demonstrated strong structures, it also identified gaps requiring attention, including the need to expand active case searches, strengthen environmental surveillance, and address immunity gaps."
health,"With these lessons, we are better positioned to detect, report, and respond swiftly to any suspected cases.” National perspective and roadmap alignment Nigeria was certified free of wild poliovirus in 2020 but continues to face risks from circulating variant poliovirus type 2 (cVDPV2)."
health,"Surveillance remains central to the Polio Eradication Roadmap, and WHO is supporting Nigeria to ensure data-driven decisions and rapid vaccination responses."
health,"Dr Namadi Lawal, Technical Lead for Polio Surveillance at the National EOC, emphasized: “These assessments ensure Nigeria’s surveillance remains highly sensitive."
health,"During the flag-off, Zamfara State Commissioner, Dr Nafisa Muhammad Maradun, said, ""The vaccination initiative is part of a broader response to the outbreak, including activating the State Infectious Disease Hospital in Damba, distributing essential medication in affected LGAs, and strengthening disease surveillance."
health,"WHO and partners provided vaccines and technical support as part of the broader effort to contain the outbreak” Dr Raji Mukhtar, WHO Zamfara State Coordinator, emphasised, “The release of vaccines from the global stockpile reflects coordinated efforts to respond to the outbreak."
health,Remember our role is to support the government and ensure coordination.
health,"WHO has also donated essential medicines and supplies, including cholera kits, IV fluids, and diagnostic tools."
health,"Voices from the field Fatima Kabiru, who received the vaccine alongside her daughter, said, ""My neighbours fell sick, and we were worried."
health,"When I heard they were giving free cholera vaccines, I decided to tell my daughter, and together we took the vaccine to keep us safe."" A vaccinator, Aisha Mukhtar, said people's acceptance of the vaccine has been very impressive."
health,"We move from house to house vaccinating people and have not met anyone who rejected being vaccinated""."
health,"Abuja , To curb the spread of mpox, Nigeria launched a targeted vaccination campaign across 12 high-burden states, aiming to protect vulnerable populations and strengthen outbreak response mechanisms."
health,"Alex Gasasira, Acting WHO Representative in Nigeria, highlighted the milestone: ""The introduction of the mpox vaccine is a key step in stopping transmission and protecting frontline workers and vulnerable groups."
health,"As part of the efforts to curb transmission in Nigeria, the World Health Organization (WHO), in collaboration with the Benue State Ministry of Health and Human Services, has launched targeted sensitisation campaigns in 45 high-risk communities across five wards in Makurdi Local Government Area."
health,"WHO support strengthening communities’ response The intervention is being led by Benue State’s Public Health Emergency Operations Centre (PHEOC) and Lassa Fever Technical Working Groups (TWGs), with technical and logistical support from WHO."
health,"By bringing prevention messages to everyday spaces and training local health workers and volunteers, WHO is helping us build a community-led defense against the disease.” Dr Asma’i Zeenat, WHO North Central Zone Coordinator, emphasised: “Treatment is costly and mortality is high, but prevention is far more effective."
health,"His Royal Highness Clement Kulugh, Mue Ter Masev of Ugondo Community, commended the initiative: “People should share the message on precautions to prevent Lassa fever—store food properly, ensure hygienic practices, and tell others what they have learned."
health,"In the long term, WHO and the Benue State Ministry of Health will continue to scale up periodic sensitisation through community outreach and mass media, contributing to Nigeria’s national goal of reducing deaths from epidemic-prone diseases and building resilience against recurring outbreaks."
health,A field visit was held on 26 June 2026 in Eka Kotebe General Hospital and Yeka Woreda 9 health center in Addis Ababa to allow participants to observe and reflect on practical implementation in service delivery settings.
health,"Dr Abel Assefa, the Gambella Regional Health Bureau Head emphasized the urgency of the vaccination campaign, stating: “This synchronized effort is essential to protect our children, especially those in border and refugee communities who are most at risk."
health,"The Ethiopian Public Health Institute, working with WHO, UNICEF, and Global Polio Eradication Initiative partners, mobilized resources from the Gates Foundation, secured vaccine supplies, and strengthened logistics systems to support effective vaccination campaign delivery."
health,"WHO has played a programmatic leadership role in supporting the vaccination campaign implementation, providing financial support for operational costs, technical expertise for the planning, training, supervision, and monitoring."
health,"Health facilities, community informants, and frontline workers were urged to remain vigilant and report suspected cases promptly."
health,"The training, taking place in Hawassa from 29 June to 9 July 2026, brings together national experts, clinicians, academics and public health professionals across Ethiopia to strengthen the country's capacity to provide high-quality, lifesaving care for children affected by severe acute malnutrition."
health,"By equipping frontline health workers with the latest evidence-based knowledge and clinical skills, the programme aims to improve treatment outcomes, reduce preventable child deaths and strengthen nutrition services in hospitals nationwide."
health,Severe acute malnutrition remains a major public health challenge in Ethiopia.
health,"Children with severe wasting, particularly those with medical complications, face a significantly increased risk of illness and death if they do not receive timely and appropriate treatment."
health,The revised WHO 2025 training package reflects the latest scientific evidence and aligns with the WHO 2023 Guideline on the Prevention and Management of Wasting and Nutritional Oedema.
health,"The training combines classroom learning with practical clinical experience, enabling participants to strengthen their competencies in the assessment, diagnosis and management of severe acute malnutrition with medical complications."
health,"Participants are also gaining hands-on experience in therapeutic feeding, monitoring recovery, preventing complications, engaging caregivers and applying quality improvement approaches to nutrition services through case discussions, simulation exercises, facilitation practice and supervised clinical placements."
health,"A total of 30 participants from the Ministry of Health, regional health bureaus, hospitals, universities and WHO are taking part in the training."
health,"The participants include pediatricians, nurses, general practitioners, nutrition specialists and public health professionals who play a critical role in strengthening inpatient nutrition services across the country."
health,"""This training has strengthened our clinical skills and confidence in managing children with severe acute malnutrition and medical complications using the latest WHO recommendations."
health,"This Training of Trainers approach will accelerate the adoption of evidence-based clinical practices, strengthen the capacity of healthcare workers nationwide and support sustainable improvements in the quality of inpatient nutrition services."
health,"By investing in the capacity of health workers and strengthening hospital nutrition services, Ethiopia is building a more resilient health system that can save lives and give vulnerable children a healthier future."
health,"WHO remains committed to supporting the Ministry of Health and our partners to ensure these lifesaving skills reach health facilities across the country,"" said Dr."
health,"Simply put, health systems must become learning systems—drawing on routine data, scientific research, implementation experience and community perspectives to improve policies and health outcomes."
health,"This commitment took center stage during the inaugural Evidence-Informed Decision-Making (EIDM) Summit 2026, convened by the Ministry of Health's Policy, Strategy and Research Lead Executive Office (PSR-LEO) in collaboration with WHO and partners from 23–25 June 2026 at the Adwa Memorial Museum in Addis Ababa."
health,"WHO reaffirmed its commitment to continue supporting the Ministry of Health, the Ethiopian Academy of Sciences, universities, research institutions and development partners in strengthening Ethiopia's evidence ecosystem and building a learning health system where science consistently informs better decisions."
health,"We must accelerate the implementation of proven innovations and ensure that every person affected by TB in our region has access to rapid diagnosis and effective, quality treatment,” said Dr Francis Kasolo, WHO Country Representative for Ethiopia."
health,Tuberculosis remains one of the deadliest infectious diseases in Africa.
health,"This public health challenge is compounded by the emergence of drug-resistant strains and co-infections, particularly with HIV."
health,"While the region has made advancements in reducing TB deaths by up to 46% between 2015 and 2024, this progress remains insufficient to meet global targets for ending the epidemic."
health,"Meeting from 23 to 25 June 2026, the participants will address critical gaps, with a focus on innovations in rapid testing, improved treatments for drug-resistant TB, and strengthening supply chains to ensure that every patient has access to the care they need."
health,"This is especially urgent because diagnostic coverage remains insufficient: only 54% of TB patients are currently diagnosed using a WHO-recommended test, leaving many cases undetected."
health,"Unlike earlier WHO-recommended rapid diagnostics, which were largely confined to district hospitals or higher-level facilities, the new point-of-care tools can be used closer to communities, including by trained community health workers."
health,"If implemented effectively, these tools could become one of the most important drivers for turning around the TB response and achieving universal access to diagnosis. “Ending the tuberculosis epidemic will require high-level leadership and commitment from governments at different levels."
health,"Beyond the health sector, the TB response also requires a strong multisectoral approach that engages different sectors and stakeholders to achieve acceleration,” said Dr Dereje Duguma, State Minister, Health Programmes and Services Wing, Ministry of Health, Ethiopia."
health,"For more information on WHO’s work against tuberculosis in the African Region, visit www.afro.who.int Communications and marketing officer Tel: + 242 06 520 65 65 (WhatsApp) Email: boakyeagyemangc [at] who.int (boakyeagyemangc[at]who[dot]int)"
health,"WHO remains committed to working closely with the Ministry of Health, EBTBS, and partners to strengthen safe, sufficient, and equitable access to blood and blood products for all Ethiopians."
health,"Through initiatives such as HEARTS, PEN, and PEN-PLUS, WHO continues to support the Ministry of Health in expanding access to quality hypertension screening, early diagnosis, treatment, and long-term management through primary health care services."
health,"The event concluded with a renewed call for individuals and institutions alike to prioritize physical activity, adopt healthier lifestyles, know their blood pressure numbers, and work together to prevent and control hypertension."
health,"By leading through example, the United Nations family in Ethiopia reaffirmed its dedication to building healthier communities and advancing the fight against noncommunicable diseases—one step, one screening, and one healthy choice at a time."
health,"The discussions took place during a technical visit by WHO Representative to Ethiopia , African Union and UNECA, Professor Francis Chisaka Kasolo, and his technical team of WHO experts to AHRI on 9 June 2026."
health,The visit provided an opportunity for both institutions to explore areas of mutual interest and identify priorities for future collaboration following AHRI’s recent institutional transformation.
health,"In addition to its longstanding work on communicable and non-communicable diseases, AHRI now leads research and development efforts in vaccines, diagnostics, medical devices, traditional and modern medicine, pharmaceutical industry development, and biological products."
health,"A key highlight of the visit was a tour of AHRI’s newly inaugurated state-of-the-art laboratory complex, officially opened by Prime Minister Abiy Ahmed on 4 April 2026."
health,"The facility includes 40 fully equipped laboratories, advanced genomics and bioinformatics platforms, and a bioequivalence center designed to ensure the quality, safety, and effectiveness of medicines produced locally."
health,"During the visit, WHO and AHRI experts held extensive discussions on institutional priorities, ongoing programs, and potential areas of collaboration."
health,"The visit concluded with agreement on priority areas for collaboration, coordination mechanisms, and next steps toward developing a structured partnership that leverages the strengths of both institutions in support of Ethiopia’s health and development agenda."
health,"The meeting concluded with recognition of hospitals and technical working groups for their contributions, reaffirming the shared commitment of the Ministry of Health, WHO, and partners to expand patient safety interventions and ensure safer, high-quality care for all people in Ethiopia."
health,"Ethiopia commemorated World TB Day 2026 from 27-29 March 2026 through a three-day national event, bringing together government leaders, researchers, partners, civil society organizations, and TB-affected communities to accelerate action to end tuberculosis (TB) This year’s commemoration, held under the theme “Yes!"
health,"We Can End TB: Led by countries, powered by people,” featured the National Tuberculosis Research Conference organized by the Oromia Regional Health Bureau in collaboration with the Ethiopian Public Health Institute."
health,"Opening the conference, Dr Dereje Duguma, State Minister of Health, reaffirmed Ethiopia’s commitment: “Ending TB is both a public health priority and a national responsibility."
health,"We are strengthening domestic financing, expanding access to quality TB services, and working with partners to ensure no Ethiopian is left behind.” Dr."
health,"Prof Netsanet Workneh, Head of the Oromia Regional Health Bureau, emphasized the urgency of intensified efforts: “TB services must reach every community."
health,"In a statement, Dr Francis Kasolo, WHO Representative to Ethiopia, highlighted: “Ethiopia has demonstrated strong government commitment in the fight against tuberculosis."
health,"A Lifetime Achievement Award was presented to Dr Fekadeselassie Mikru (WHO National Professional Officer), a pioneer in Ethiopia’s TB response, recognized for his decades-long contribution spanning clinical care, program implementation, and technical leadership."
health,"According to the World Health Organization, tuberculosis remains one of the world’s deadliest infectious diseases, with over 10 million people falling ill and 1.3 million deaths globally in 2024."
health,"However, the burden remains high, with: The country continues to scale up WHO recommended tools, including rapid molecular diagnostics, shorter treatment regimens, and AI-powered digital X-ray technologies for TB screening and triage."
