PSA_ID,Domain,Sub_Category,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata,Origin_File,Region,PSA_Score,Notice_Style,Needs_Native_Review
83,Governance,Anti-Corruption Initiatives,Africa’s anti-corruption research centre launched in Nairobi - Daily Nation.,Kituo cha Afrika cha Utafiti wa Kupambana na Ufisadi kianzishwa Nairobi - Daily Nation.,,Afrika's anti-corruption research centre osechako e Nairobi - Daily Nation.,Xarunta cilmi baarista ee ka dhanka ah musuqmaasuqa ee Afrika ayaa laga bilaabay Nairobi - Daily Nation.,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxOWUREcGlnQ0hmS3RlQnNCcTVLSzhIeHNBUEpfdU9tc3FiWUZ1LWtfbW9wSks0VWlieU44YVVZYU1jX0JfUjAyUE43dHJyZXBEX2Z5NEloLTlWVkZEaU1IM0ZZcWJhdmcwNWV1elJmTFBnRzI5ajhmanhwS1I4SEpVVzJkUGNlcFhPM1o3N3dKRmhEd0FCcXN1UExIcXdtNkVtU0tn?oc=5,googlenews_governance_psa.csv,,,,True
84,Governance,Anti-Corruption Initiatives,Africa’s anti-corruption research centre launched in Nairobi Daily Nation,Kituo cha Afrika cha Utafiti wa Kupambana na Ufisadi kianzishwa Nairobi Daily Nation,,Afrika mar timo nonro e lweny gi mibadhi ochako tiyo Nairobi Daily Nation,Xarunta cilmi baarista ee ka dhanka ah musuqmaasuqa ee Afrika ayaa laga bilaabay Nairobi Daily Nation,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxOWUREcGlnQ0hmS3RlQnNCcTVLSzhIeHNBUEpfdU9tc3FiWUZ1LWtfbW9wSks0VWlieU44YVVZYU1jX0JfUjAyUE43dHJyZXBEX2Z5NEloLTlWVkZEaU1IM0ZZcWJhdmcwNWV1elJmTFBnRzI5ajhmanhwS1I4SEpVVzJkUGNlcFhPM1o3N3dKRmhEd0FCcXN1UExIcXdtNkVtU0tn?oc=5,googlenews_governance_psa.csv,,,,True
85,Governance,Anti-Corruption Initiatives,African anti-corruption research centre launched - Herald.co.zw.,Kituo cha Afrika cha Utafiti wa Kupambana na Ufisadi kianzishwa - Herald.co.zw.,,Ochak Centrum mar Afrika mar Nonro e Weche mag Mibadhi - Herald.co.zw.,Xarunta cilmi baarista ee ka dhanka ah musuqmaasuqa Afrika ayaa la bilaabay - Herald.co.zw.,GoogleNews_en,"Thu, 18 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMihwFBVV95cUxQNDZiSUphbjMyM0VRbEE0SWRUR1Q1LXlDemlNaXpBSWZaaGZqeG9qcVpPeWJKVGt2ZlJqVVprMHNNM1d5LWhSQmdJdHlwbVM0WGNSb1pjNmNQNGJNbk1DcW81U2RPS29oanZ4TkdocHk5NTc4MG5KRm85S1A0cXFnVUNPbEgxSFk?oc=5,googlenews_governance_psa.csv,,,,True
86,Governance,Anti-Corruption Initiatives,African anti-corruption research centre launched Herald.co.zw,Kituo cha Afrika cha Utafiti wa Kupambana na Ufisadi chaanza Herald.co.zw,,Oganda mar Afrika mar Nonro e Weche mag Mibadhi ochako tich e pinyno,Xarunta cilmi baarista ee ka dhanka ah musuqmaasuqa ee Afrika ayaa la bilaabay Herald.co.zw,GoogleNews_en,"Thu, 18 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMihwFBVV95cUxQNDZiSUphbjMyM0VRbEE0SWRUR1Q1LXlDemlNaXpBSWZaaGZqeG9qcVpPeWJKVGt2ZlJqVVprMHNNM1d5LWhSQmdJdHlwbVM0WGNSb1pjNmNQNGJNbk1DcW81U2RPS29oanZ4TkdocHk5NTc4MG5KRm85S1A0cXFnVUNPbEgxSFk?oc=5,googlenews_governance_psa.csv,,,,True
87,Governance,Anti-Corruption Initiatives,"EACC Announces Investigation Officer Job Openings, Details How to Apply - Kenyans.co.ke.","EACC yatangaza kazi za Ofisa wa Utafiti, Maelezo ya Jinsi ya kuomba - Kenyans.co.ke.",,"EACC olando tije mag jatelo mar nonro, weche malero kaka inyalo kwayo - Kenyans.co.ke.","EACC waxay ku dhawaaqday shaqooyinka shaqaalaha baaritaanka, faahfaahin ku saabsan sida loo codsado - Kenyans.co.ke.",GoogleNews_en,"Tue, 21 Oct 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQWmU5a2NxUmxlWkxiTFJwUjBQYWJPOU0yWDFtU3BxdmpPWlRrcGNGaFpEMVF5TEFrSXhQdkdtV3Z3VkJEOTRBd1diYVdnOUZXeFM5ZE9jSTJfeFZLSkUyRkl0RXZVUGsxWmFLYWlDeGx3N3hzZ19zbGY3QWN2SjljaUJSWlFxczJ1cnNydEd4dkNpQTZrSURfak0wYnFPZkxldjhmVExsc2d1Zw?oc=5,googlenews_governance_psa.csv,,,,True
88,Governance,Anti-Corruption Initiatives,"EACC Announces Investigation Officer Job Openings, Details How to Apply Kenyans.co.ke","EACC yatangaza kazi za Ofisa wa Utafiti, Maelezo ya Jinsi ya kuomba Kenyans.co.ke",,"EACC Oelo Tich ma Jorit mar Nonro Oting'o, Weche Manyien Kaka Inyalo Dhi e Kenyans.co.ke","EACC waxay ku dhawaaqday shaqooyinka shaqaalaha baaritaanka, faahfaahin ku saabsan sida loo dalbado Kenyans.co.ke",GoogleNews_en,"Tue, 21 Oct 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQWmU5a2NxUmxlWkxiTFJwUjBQYWJPOU0yWDFtU3BxdmpPWlRrcGNGaFpEMVF5TEFrSXhQdkdtV3Z3VkJEOTRBd1diYVdnOUZXeFM5ZE9jSTJfeFZLSkUyRkl0RXZVUGsxWmFLYWlDeGx3N3hzZ19zbGY3QWN2SjljaUJSWlFxczJ1cnNydEd4dkNpQTZrSURfak0wYnFPZkxldjhmVExsc2d1Zw?oc=5,googlenews_governance_psa.csv,,,,True
89,Governance,Anti-Corruption Initiatives,Africa’s Anti-Corruption Research Centre launched in Nairobi to boost fight against graft - The Eastleigh Voice.,Kituo cha Utafiti wa Kupambana na Ufisadi cha Afrika kilianzishwa Nairobi ili kuongeza mapambano dhidi ya ufisadi - The Eastleigh Voice.,,Afrika's Anti-Corruption Research Centre osechako e Nairobi mondo ojiw lweny e wi mibadhi - The Eastleigh Voice.,Xarunta Cilmi-baarista La-dagaallanka Musuqmaasuqa ee Afrika ayaa laga bilaabay Nairobi si kor loogu qaado dagaalka ka dhanka ah musuqmaasuqa - The Eastleigh Voice.,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiyAFBVV95cUxPUS12dGpjd3BvejRPOV8tb1dMNHZMYW5PSmFsTlBsZFZWVmx5SlJNM3BmLWRabTJDVnBjYlJQWFFtb0RLNVNwcHJ0R2VKbVhvTUtMdTh6aVhIc05RbVVic21PRzRQZWYxZDcybFRSMHhobDg5RnQ5Wkd6TXdlU3NYWjNSLWJfS0oxUmdMNGhJV0R6YjVSeWoydGx6aUNRdkhDZVZEVlRDSEJjcHpvLWF6dXU2N0c0Nm0tRW1GY3c5Vkd6RkRjZzBUSA?oc=5,googlenews_governance_psa.csv,,,,True
90,Governance,Anti-Corruption Initiatives,Africa’s Anti-Corruption Research Centre launched in Nairobi to boost fight against graft The Eastleigh Voice,Kituo cha Utafiti wa Kupambana na Ufisadi cha Afrika kianzishwa Nairobi ili kuongeza mapambano dhidi ya ufisadi The Eastleigh Voice,,Afrika Centrum mar Nonro e Weche mag Mibadhi ochako tiyo Nairobi mondo okony e kedo gi mibadhi,Xarunta Cilmi-baarista La-dagaallanka Musuqmaasuqa ee Afrika ayaa laga bilaabay Nairobi si kor loogu qaado dagaalka ka dhanka ah musuqmaasuqa The Eastleigh Voice,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiyAFBVV95cUxPUS12dGpjd3BvejRPOV8tb1dMNHZMYW5PSmFsTlBsZFZWVmx5SlJNM3BmLWRabTJDVnBjYlJQWFFtb0RLNVNwcHJ0R2VKbVhvTUtMdTh6aVhIc05RbVVic21PRzRQZWYxZDcybFRSMHhobDg5RnQ5Wkd6TXdlU3NYWjNSLWJfS0oxUmdMNGhJV0R6YjVSeWoydGx6aUNRdkhDZVZEVlRDSEJjcHpvLWF6dXU2N0c0Nm0tRW1GY3c5Vkd6RkRjZzBUSA?oc=5,googlenews_governance_psa.csv,,,,True
91,Governance,Anti-Corruption Initiatives,EACC boss urges African agencies to embrace AI in fight against corruption - The Eastleigh Voice.,Mkuu wa EACC anawahimiza mashirika ya Kiafrika kuunga mkono AI katika kupambana na ufisadi - The Eastleigh Voice.,,Jatend EACC jiwo riwruoge mag Afrika mondo oriw lwedo AI e kedo gi mibadhi.,Madaxa EACC wuxuu ku booriyay hay'adaha Afrika inay ku darsadaan AI dagaalka la dagaalanka musuqmaasuqa - The Eastleigh Voice.,GoogleNews_en,"Sat, 07 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMivgFBVV95cUxNdXQyZ21fWUF6RE1QWUFHd1NoMDZZeWdyc3YzMEpWTU9YQTZaZUdfR3owT1JhMms1WXlGaGtUZ3V1cTJPNlRUY0FjdGFtXzk3bzBaSFZzUDN2ekxNN3p2eGVFYUs2UkdBdUNfaGJha2gtLTZOOGpiT1diLVFpa1hiSWk0TGd0UW1Eb0EtLXdxRWZzYWk2V1U4YVFJV2haZ1VTUWtrRGt3eHRmVEJLa1NwY2l6MmMybmFpX0JUZEtB?oc=5,googlenews_governance_psa.csv,,,,True
92,Governance,Anti-Corruption Initiatives,EACC boss urges African agencies to embrace AI in fight against corruption The Eastleigh Voice,Mkuu wa EACC anawahimiza mashirika ya Kiafrika kuunga mkono AI katika kupambana na ufisadi,,Jatend EACC jiwo riwruoge mag Afrika mondo oti gi AI e kedo gi mibadhi,Madaxa EACC wuxuu ku booriyay hay'adaha Afrika inay ku darsadaan AI dagaalka musuqmaasuqa,GoogleNews_en,"Sat, 07 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMivgFBVV95cUxNdXQyZ21fWUF6RE1QWUFHd1NoMDZZeWdyc3YzMEpWTU9YQTZaZUdfR3owT1JhMms1WXlGaGtUZ3V1cTJPNlRUY0FjdGFtXzk3bzBaSFZzUDN2ekxNN3p2eGVFYUs2UkdBdUNfaGJha2gtLTZOOGpiT1diLVFpa1hiSWk0TGd0UW1Eb0EtLXdxRWZzYWk2V1U4YVFJV2haZ1VTUWtrRGt3eHRmVEJLa1NwY2l6MmMybmFpX0JUZEtB?oc=5,googlenews_governance_psa.csv,,,,True
93,Governance,Anti-Corruption Initiatives,Continental Anti-Corruption Research Centre Launched in Nairobi to Boost Graft Fight - Dawan Africa.,Kituo cha Utafiti wa Kupambana na Ufisadi cha Bara Kilianzishwa Nairobi Ili Kuongeza Mapigano ya Ufisadi - Dawan Afrika.,,Centrum mar Continental Anti-Corruption Research Center ochako tiyo Nairobi mondo okony e kedo gi mibadhi - Dawan Africa.,Xarunta Cilmi-baarista ee ka dhanka ah musuqmaasuqa ee Continental ayaa laga bilaabay Nairobi si loo xoojiyo dagaalka musuqmaasuqa - Dawan Africa.,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMitAFBVV95cUxQVUxMdmR6d3VxNDVUSVlLSXZidDd4V3hUV0JORERFZlB0TnVISW9xWjlzLTFPX1RxR3hpdndHXzFHM3FxUm1jVUZGMjYzQjFzN09zM0xzcnBFTGtLZWpkQWlHNlYtUUJ3MVQwNE1odE9kR0o1UHFXcHVzN3ZOZGd3Ri1MOXE1dzE0Ulh0MW5vY0xVU3VKdzdVV3Z5cFpCUjZMQ2thTFF1bnk3OVFqd2RfOFJLV2E?oc=5,googlenews_governance_psa.csv,,,,True
94,Governance,Anti-Corruption Initiatives,Continental Anti-Corruption Research Centre Launched in Nairobi to Boost Graft Fight Dawan Africa,Kituo cha Utafiti wa Upinzani wa Ufisadi kianzishwa Nairobi ili kuimarisha mapambano dhidi ya ufisadi katika Afrika,,Oganda ma Riwore gi Richo ma Piny Mangima Ochako e Nairobi Mondo Ojiw Kedo gi Richo ma Ji Timo e Piny Afrika,Xarunta Cilmi-baarista ee la dagaalanka musuqmaasuqa ee Continental ayaa laga bilaabay Nairobi si loo xoojiyo dagaalka la dagaalanka musuqmaasuqa ee Afrika,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMitAFBVV95cUxQVUxMdmR6d3VxNDVUSVlLSXZidDd4V3hUV0JORERFZlB0TnVISW9xWjlzLTFPX1RxR3hpdndHXzFHM3FxUm1jVUZGMjYzQjFzN09zM0xzcnBFTGtLZWpkQWlHNlYtUUJ3MVQwNE1odE9kR0o1UHFXcHVzN3ZOZGd3Ri1MOXE1dzE0Ulh0MW5vY0xVU3VKdzdVV3Z5cFpCUjZMQ2thTFF1bnk3OVFqd2RfOFJLV2E?oc=5,googlenews_governance_psa.csv,,,,True
95,Governance,Elections and Voter Education,"For IEBC, Kenya must never win an election and lose public trust - standardmedia.co.ke.","Kwa IEBC, Kenya haipaswi kamwe kushinda uchaguzi na kupoteza uaminifu wa umma - standardmedia.co.ke.",,"Kuom IEBC, Kenya ok onego oloch e yiero kendo ok onego olal geno mar oganda.","IEBC, Kenya waa inaysan marnaba ku guuleysan doorasho oo ay lumiso kalsoonida dadweynaha - standardmedia.co.ke.",GoogleNews_en,"Sun, 12 Jul 2026 10:08:27 GMT",https://news.google.com/rss/articles/CBMivwFBVV95cUxPZV8tNHVGYUhzNXl1Y0gzZ1k4bU5HUHhLOTh5NTh3M3JlNklOUFg1b1dONWd0WlBtX2JKS1pSX3JWd2ZDaF9iWktjdy1TZndsMkIxNnNqY0xxSEVMeXVWeXNzcTJyMllVc0VxQWM0MFd6eFZacnFLaG1DNnpFRDRsN1ZsclFNUnZKenFsMzRVZWtVOE5mek1wVkhTRkh3ZGVVTmZjckFLeXNKWnNxSUtwMEZWRHhLa0RxU0hoUDNrZw?oc=5,googlenews_governance_psa.csv,,,,True
96,Governance,Elections and Voter Education,"For IEBC, Kenya must never win an election and lose public trust standardmedia.co.ke","Kwa IEBC, Kenya haipaswi kamwe kushinda uchaguzi na kupoteza uaminifu wa umma standardmedia.co.ke",,"Kuom IEBC, Kenya ok onego oloch e yiero kendo ok onego olal geno mar oganda standardmedia.co.ke","IEBC, Kenya waa inaysan marnaba ku guuleysan doorasho oo lumiso kalsoonida dadweynaha standardmedia.co.ke",GoogleNews_en,"Sun, 12 Jul 2026 10:08:27 GMT",https://news.google.com/rss/articles/CBMivwFBVV95cUxPZV8tNHVGYUhzNXl1Y0gzZ1k4bU5HUHhLOTh5NTh3M3JlNklOUFg1b1dONWd0WlBtX2JKS1pSX3JWd2ZDaF9iWktjdy1TZndsMkIxNnNqY0xxSEVMeXVWeXNzcTJyMllVc0VxQWM0MFd6eFZacnFLaG1DNnpFRDRsN1ZsclFNUnZKenFsMzRVZWtVOE5mek1wVkhTRkh3ZGVVTmZjckFLeXNKWnNxSUtwMEZWRHhLa0RxU0hoUDNrZw?oc=5,googlenews_governance_psa.csv,,,,True
97,Governance,Elections and Voter Education,"ELOG urges IEBC to protect voter data, boost registration access - The Eastleigh Voice.","ELOG inawasihi IEBC kulinda data ya wapiga kura, kuongeza upatikanaji wa usajili - The Eastleigh Voice.",,"ELOG jiwo IEBC mondo orit weche mag josiasa, kendo omed miyo ji thuolo mar dhi e chokruoge.","ELOG waxay ku boorineysaa IEBC inay ilaaliso xogta codbixiyayaasha, kor u qaadista helitaanka diiwaangelinta - The Eastleigh Voice.",GoogleNews_en,"Mon, 06 Jul 2026 05:13:25 GMT",https://news.google.com/rss/articles/CBMiugFBVV95cUxPQnMzSUhLYTJtX0VZS01CYVRWb2xZeUMyTHVBR2Q5d1EwaG1pdVo2ZzdYbG1TQkIwdU1pRG41aTVqMGwyR2JZSGlHdVZfc1c4RTd2cGlyb0FibDVrcnEyelo2ZVRNSHJQZnVtMFRwcG5ENldwNHFmSlhjRUhTeGNEQlA3YlRENWhwckxDUWk5b0trLXI1b3czeXRPYlZ4TWsxeThOX01nZmJSOEVRVllKeXhLYmJpMEs5OWc?oc=5,googlenews_governance_psa.csv,,,,True
98,Governance,Elections and Voter Education,"ELOG urges IEBC to protect voter data, boost registration access The Eastleigh Voice","ELOG inawasihi IEBC kulinda data ya wapiga kura, kuongeza upatikanaji wa usajili",,"ELOG jiwo IEBC mondo orit weche mag josiasa, kendo omed miyo ji thuolo mar dhi e chokruoge","ELOG waxay ku boorineysaa IEBC inay ilaaliso xogta codbixiyayaasha, kor u qaadista diiwaangelinta Codka Eastleigh",GoogleNews_en,"Mon, 06 Jul 2026 05:13:25 GMT",https://news.google.com/rss/articles/CBMiugFBVV95cUxPQnMzSUhLYTJtX0VZS01CYVRWb2xZeUMyTHVBR2Q5d1EwaG1pdVo2ZzdYbG1TQkIwdU1pRG41aTVqMGwyR2JZSGlHdVZfc1c4RTd2cGlyb0FibDVrcnEyelo2ZVRNSHJQZnVtMFRwcG5ENldwNHFmSlhjRUhTeGNEQlA3YlRENWhwckxDUWk5b0trLXI1b3czeXRPYlZ4TWsxeThOX01nZmJSOEVRVllKeXhLYmJpMEs5OWc?oc=5,googlenews_governance_psa.csv,,,,True
99,Governance,Elections and Voter Education,IEBC announces temporary disruption of some voter services - the-star.co.ke.,IEBC inatangaza kuvurugwa kwa muda wa huduma za wapiga kura - the-star.co.ke.,,IEBC koro lando ni nitie sirkal moro mar joma oyiero mar yiero ma biro ketho tij lendo - the-star.co.ke.,IEBC waxay ku dhawaaqday in ay si ku meel gaar ah u joojiso adeegyada codbixiyeyaasha qaarkood - the-star.co.ke.,GoogleNews_en,"Tue, 07 Jul 2026 18:38:50 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxQakFVR3U3UWVXWnZ6akhObXBHZ3FNTGhTZVNRYkJfVnVPcUxnZXdPRnExNGpaUHhVaHQ4VGFOa1JlM0NHeTlOQUlqc3gwN0dnbVozQW81blN3dEtMeHdtSGhEUHlUZ0VDUWRtSUQxY25qU3ZSTDdiOWxvV3hWdFNONlJUSzJDcmNZU1dxdFl1di1zYzViTFBrZkdzajV2Z3BpV2Nr?oc=5,googlenews_governance_psa.csv,,,,True
100,Governance,Elections and Voter Education,IEBC announces temporary disruption of some voter services the-star.co.ke,IEBC yatangaza kuvurugwa kwa muda wa baadhi ya huduma za wapiga kura the-star.co.ke,,IEBC olando ni nitie sirkal moro mar joma oyiero mar yiero ma ok dhi nyime gi tijno,IEBC waxay ku dhawaaqday in ay si ku meel gaar ah u joojiso adeegyada codbixiyeyaasha qaarkood the-star.co.ke,GoogleNews_en,"Tue, 07 Jul 2026 18:38:50 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxQakFVR3U3UWVXWnZ6akhObXBHZ3FNTGhTZVNRYkJfVnVPcUxnZXdPRnExNGpaUHhVaHQ4VGFOa1JlM0NHeTlOQUlqc3gwN0dnbVozQW81blN3dEtMeHdtSGhEUHlUZ0VDUWRtSUQxY25qU3ZSTDdiOWxvV3hWdFNONlJUSzJDcmNZU1dxdFl1di1zYzViTFBrZkdzajV2Z3BpV2Nr?oc=5,googlenews_governance_psa.csv,,,,True
101,Governance,Elections and Voter Education,"ELOG flags slow voter registration, warns progress lagging far behind 2027 target - The Eastleigh Voice.","ELOG inaonyesha polepole usajili wa wapiga kura, inaonya maendeleo ya nyuma sana nyuma ya lengo la 2027 - Sauti ya Eastleigh.",,"ELOG nyiso ni ji ok dhiga nono ji, kendo osiemo ni dongruok ma gitimo e yiero mar 2027 pod dhi chien ahinya.","ELOG waxay soo bandhigtay in diiwaangelinta codbixiyayaashu ay gaabis tahay, waxayna ka digtay in horumarka ay ka dambeeyaan bartilmaameedka 2027 - The Eastleigh Voice.",GoogleNews_en,"Mon, 06 Jul 2026 22:23:22 GMT",https://news.google.com/rss/articles/CBMiywFBVV95cUxNcVU5c3k3OTBaN0xtamROeFZydngwSU5seXc1ZjR2c1RibndwY1d4ZFZkWlhvMW4tcDlidHpiVnZrci1hcGZPV3BTbkgtd2hoS190LWNMRE9ib2tSdDBmOE4xeG10bmJZbWlKY2NORFFocEhKNzE3T1JlN3NfZGxHVkxoaUFwd1EwSVc3LW5OWmVfRUJtb2tmMXFWVXVVakxoSzQyRDhzdTV5bWk4MktCRjdaN3N2QmZBY1RpNmZMVmNRSUFkcVJHMHlXYw?oc=5,googlenews_governance_psa.csv,,,,True
102,Governance,Elections and Voter Education,"ELOG flags slow voter registration, warns progress lagging far behind 2027 target The Eastleigh Voice","ELOG inaonyesha polepole usajili wa wapiga kura, inaonya maendeleo ya nyuma sana nyuma ya lengo la 2027",,"ELOG nyiso ni kwan mar joma oyiero dhi nyime bedo mos mos, kendo osiemo ni dongruok mar ji pod dhi chien ahinya e higa mar 2027","ELOG waxay soo bandhigtay in diiwaangelinta codbixiyayaashu ay gaabis tahay, waxay ka digtay in horumarka ay ka dambeeyaan bartilmaameedka 2027",GoogleNews_en,"Mon, 06 Jul 2026 22:23:22 GMT",https://news.google.com/rss/articles/CBMiywFBVV95cUxNcVU5c3k3OTBaN0xtamROeFZydngwSU5seXc1ZjR2c1RibndwY1d4ZFZkWlhvMW4tcDlidHpiVnZrci1hcGZPV3BTbkgtd2hoS190LWNMRE9ib2tSdDBmOE4xeG10bmJZbWlKY2NORFFocEhKNzE3T1JlN3NfZGxHVkxoaUFwd1EwSVc3LW5OWmVfRUJtb2tmMXFWVXVVakxoSzQyRDhzdTV5bWk4MktCRjdaN3N2QmZBY1RpNmZMVmNRSUFkcVJHMHlXYw?oc=5,googlenews_governance_psa.csv,,,,True
103,Governance,Elections and Voter Education,IEBC Announces Enhanced Voter Registration in 5 Regions - Kenyans.co.ke.,IEBC yatangaza kuimarisha usajili wa wapiga kura katika mikoa mitano - Kenyans.co.ke,,IEBC Oelo Kaka Inyalo Medore Kaka Joriwo Duto e Pinje Abich - Kenyans.co.ke,IEBC waxay ku dhawaaqday diiwaangelinta codbixiyeyaasha ee 5 Gobol - Kenyans.co.ke,GoogleNews_en,"Thu, 25 Jun 2026 14:12:30 GMT",https://news.google.com/rss/articles/CBMivAFBVV95cUxNWjBRaERmekZyWTZjaVFJWEVMdDAtV0U1aGZfZzBsdVp2VU9hUW1YZjVZSUJnUUMzNWJ6NGhKTkV3ZWNnS2t6VzRCMkEwQTVMbW96aVI2WHFzRk5JbDAwNjQ5eWtmc1JiUk5Va0NDNHRhdzlhelpCZE1kN2lvZDJfSml3bjlWa1Q4dHJBemNVbVg3RjZPX3RwdTIxbW4xN2Rzem4ySEtBV0VwMWJoSnhVcmxkZVZFdUxwb085OQ?oc=5,googlenews_governance_psa.csv,,,,True
104,Governance,Elections and Voter Education,IEBC Announces Enhanced Voter Registration in 5 Regions Kenyans.co.ke,IEBC yatangaza kuimarisha usajili wa wapiga kura katika mikoa 5 Kenyans.co.ke,,IEBC Oelo Kaka Inyalo Medore Kaka Joriwo Ji e Pinje Abich Kenyans.co.ke,IEBC waxay ku dhawaaqday in diiwaangelinta codbixiyayaasha lagu xoojiyay 5 Gobol.,GoogleNews_en,"Thu, 25 Jun 2026 14:12:30 GMT",https://news.google.com/rss/articles/CBMivAFBVV95cUxNWjBRaERmekZyWTZjaVFJWEVMdDAtV0U1aGZfZzBsdVp2VU9hUW1YZjVZSUJnUUMzNWJ6NGhKTkV3ZWNnS2t6VzRCMkEwQTVMbW96aVI2WHFzRk5JbDAwNjQ5eWtmc1JiUk5Va0NDNHRhdzlhelpCZE1kN2lvZDJfSml3bjlWa1Q4dHJBemNVbVg3RjZPX3RwdTIxbW4xN2Rzem4ySEtBV0VwMWJoSnhVcmxkZVZFdUxwb085OQ?oc=5,googlenews_governance_psa.csv,,,,True
105,Governance,Elections and Voter Education,IEBC warns Sh33.4 billion funding gap threatens 2027 election preparations - The Eastleigh Voice.,IEBC inaonya kwamba upungufu wa fedha wa sh33.4 bilioni unahatarisha maandalizi ya uchaguzi wa 2027.,,IEBC osiemo ni nengo mar Sh33.4 bilion mar pesa nyalo miyo iket chenro mar yiero mar 2027.,IEBC waxay ka digtay in shirka maaliyadeed ee sh.33.4 bilyan uu khatar ku yahay diyaarinta doorashada 2027 - The Eastleigh Voice.,GoogleNews_en,"Mon, 06 Jul 2026 19:48:20 GMT",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNTVR1QWJrSGVIeFRncENLVllNaTNPSlp5cnJLQUxpNTV3WWcxVEgxaGp1NVFqSnhfUFhhVDNJYkdLNHFTSC14VnRiOFIwSm1YNVFRV2RlVll4bGdobzJldk9WMmVVTWlib25NMEpDa01LTnpPck93VG5LeklhUFNEZzZKYW5peGEyUHdVUUNRdWVfVldTTHRtbjlUWFNWOWRMZGNvbnVPaVZpM1pYMUh4a2M5TVBjTlFpSzBWUHRJV0FBdw?oc=5,googlenews_governance_psa.csv,,,,True
106,Governance,Elections and Voter Education,IEBC warns Sh33.4 billion funding gap threatens 2027 election preparations The Eastleigh Voice,IEBC inaonya kwamba upungufu wa fedha wa sh33.4 bilioni unahatarisha maandalizi ya uchaguzi wa 2027,,IEBC chiwo siem ni nengo mar Sh33.4 bilion mar pesa nyalo miyo iket chenro mar yiero mar 2027,IEBC waxay ka digtay in shirka maaliyadeed ee sh. 33.4 bilyan uu khatar ku yahay diyaarinta doorashada 2027 Codka Eastleigh,GoogleNews_en,"Mon, 06 Jul 2026 19:48:20 GMT",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNTVR1QWJrSGVIeFRncENLVllNaTNPSlp5cnJLQUxpNTV3WWcxVEgxaGp1NVFqSnhfUFhhVDNJYkdLNHFTSC14VnRiOFIwSm1YNVFRV2RlVll4bGdobzJldk9WMmVVTWlib25NMEpDa01LTnpPck93VG5LeklhUFNEZzZKYW5peGEyUHdVUUNRdWVfVldTTHRtbjlUWFNWOWRMZGNvbnVPaVZpM1pYMUh4a2M5TVBjTlFpSzBWUHRJV0FBdw?oc=5,googlenews_governance_psa.csv,,,,True
107,Governance,Elections and Voter Education,Explainer: Why you shouldn’t panic over IEBC’s April 28 voter registration deadline - The Eastleigh Voice.,Mfafanuzi: Kwa nini usiwe na hofu kuhusu tarehe ya mwisho ya IEBC ya tarehe 28 Aprili ya kujiandikisha kwa wapiga kura - The Eastleigh Voice.,,Ler ane: Ang'o momiyo ok onego ibed gi luoro nikech tarik 28 April ma IEBC biro keto mar ndiko ji e tiegruok mar yiero?,Macallin: Waa maxay sababta aadan u baqin waqtiga ugu dambeeya ee diiwaangelinta codbixiyayaasha ee IEBC 28 April - The Eastleigh Voice.,GoogleNews_en,"Thu, 23 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMivgFBVV95cUxNVEZKbjNnMmo5b0ZCOXFMbjhtVFpXeFFXYzJoT1ZqYUd2cDBaaVAzVkdoaXFnSS1CendtRk5Va3JReFBrbklZTG41b3dsQ1dfS1RVdFVaU1YxLVB6Yi1qRTN4OXRzS0p1cVJmc19LZHBpMFFEdjZnQUlwNkdRWUhKRHh4ckpneDVDelhvWXZYcTdhTEEzNEFXdDdxTTMyTEkyM2lVUm50LWsyWGJXSjJyTGNyT0d4cTlld2F1WUtR?oc=5,googlenews_governance_psa.csv,,,,True
